,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM,FILTER
0,4.268524,-4.078718,-0.108674,1507,2015-07-06 12:33:44:342,5.904917248,5.904917248
1,-0.092657,1.784739,-0.028591,2009,2015-07-06 12:33:44:844,1.787371272,5.49316265
2,0.131576,-0.722547,0.007634,2508,2015-07-06 12:33:45:343,0.734468984,5.017293283
3,1.102158,-0.970881,-1.363365,3008,2015-07-06 12:33:45:843,2.004027519,4.715966707
4,-0.142653,-0.052092,-0.367935,3507,2015-07-06 12:33:46:342,0.398044745,4.284174511
5,-0.306712,0.031734,-0.436492,4006,2015-07-06 12:33:46:841,0.534419838,3.909199044
6,-0.421972,-0.550555,-0.217647,4507,2015-07-06 12:33:47:342,0.727008524,3.590979992
7,0.06721,-0.301922,-0.131876,5007,2015-07-06 12:33:47:842,0.336251926,3.265507185
8,-0.014071,-0.053439,0.044158,5507,2015-07-06 12:33:48:342,0.070736474,2.946030114
9,-0.274529,-0.016765,-0.00464,6006,2015-07-06 12:33:48:841,0.275079564,2.678935059
10,-0.256417,0.002096,0.026645,6507,2015-07-06 12:33:49:342,0.257806181,2.436822171
11,0.523761,-0.257016,0.148491,7007,2015-07-06 12:33:49:842,0.602023576,2.253342312
12,0.281714,-0.192649,-0.148641,7507,2015-07-06 12:33:50:342,0.372250671,2.065233148
13,-0.099693,-0.109422,-0.068557,8006,2015-07-06 12:33:50:841,0.163131636,1.875022996
14,0.145198,-0.302072,0.011975,8507,2015-07-06 12:33:51:342,0.335370471,1.721057744
15,0.316442,-0.151335,0.125589,9007,2015-07-06 12:33:51:842,0.372572702,1.58620924
16,-0.288151,-0.037272,-0.023052,9507,2015-07-06 12:33:52:342,0.29146457,1.456734773
17,-0.017065,-0.073647,0.002245,10009,2015-07-06 12:33:52:844,0.075631573,1.318624453
18,-0.812211,0.12499,-0.233215,10507,2015-07-06 12:33:53:342,0.854223884,1.272184396
19,-0.05793,-0.095052,0.149988,11006,2015-07-06 12:33:53:841,0.186781069,1.163644063
20,0.693208,-0.214205,0.13472,11507,2015-07-06 12:33:54:342,0.737950264,1.121074683
21,-0.078886,-0.247735,-0.186812,12007,2015-07-06 12:33:54:842,0.320147395,1.040981954
22,-0.894839,0.204624,0.010778,12507,2015-07-06 12:33:55:342,0.917999991,1.028683758
23,-0.369432,-0.257016,-0.332309,13007,2015-07-06 12:33:55:842,0.559434088,0.981758791
24,-0.041314,-0.099992,-0.141606,13507,2015-07-06 12:33:56:342,0.178206358,0.901403548
25,-0.238604,-0.032333,-0.023202,14007,2015-07-06 12:33:56:842,0.24190003,0.835453196
26,0.272883,-0.35566,-0.562231,14510,2015-07-06 12:33:57:345,0.719070834,0.82381496
27,0.795296,0.105531,-0.520767,15007,2015-07-06 12:33:57:842,0.956467871,0.837080251
28,0.154179,-1.108595,-0.174387,15507,2015-07-06 12:33:58:342,1.132768672,0.866649093
29,0.0723,-1.052761,-0.430954,16009,2015-07-06 12:33:58:844,1.139848395,0.893969023
30,-0.182171,0.03353,-0.296384,16507,2015-07-06 12:33:59:342,0.349505378,0.839522659
31,-0.098196,-0.14415,-0.251477,17007,2015-07-06 12:33:59:842,0.306043066,0.786174699
32,0.066462,-0.136965,-0.221839,17507,2015-07-06 12:34:00:342,0.269052319,0.734462461
33,0.151036,-0.152832,0.030237,18007,2015-07-06 12:34:00:842,0.216987948,0.68271501
34,-0.09625,0.028591,0.169747,18508,2015-07-06 12:34:01:343,0.197219552,0.634165464
35,-0.76446,-0.19699,-0.345781,19007,2015-07-06 12:34:01:842,0.86184027,0.656932945
36,1.300047,0.075593,0.554746,19507,2015-07-06 12:34:02:342,1.415478586,0.732787509
37,-0.849783,0.0241,-0.930315,20007,2015-07-06 12:34:02:842,1.260237262,0.785532484
38,1.372047,-0.460143,-0.292492,20507,2015-07-06 12:34:03:342,1.476413262,0.854620562
39,1.101709,-0.457748,0.821043,21007,2015-07-06 12:34:03:842,1.448242922,0.913982798
40,-0.395328,-1.900747,-0.174986,21507,2015-07-06 12:34:04:342,1.949293073,1.017513826
41,1.907334,0.032333,-0.238604,22007,2015-07-06 12:34:04:842,1.922472439,1.108009687
42,-1.200653,-0.285007,-0.411345,22507,2015-07-06 12:34:05:342,1.300769513,1.12728567
43,-0.083526,-0.072749,-0.08188,23007,2015-07-06 12:34:05:842,0.137743762,1.028331479
44,0.29833,-0.041763,-0.136666,23507,2015-07-06 12:34:06:342,0.330790769,0.958577408
45,0.382006,-0.057331,-0.083077,24007,2015-07-06 12:34:06:842,0.395116711,0.902231338
46,0.104183,-0.104183,0.100142,24507,2015-07-06 12:34:07:342,0.178147734,0.829822978
47,-0.392184,0.130229,0.168699,25007,2015-07-06 12:34:07:842,0.446348782,0.791475558
48,0.246388,-0.329016,0.032033,25507,2015-07-06 12:34:08:342,0.412291993,0.753557202
49,-0.160167,-0.060774,-0.054636,26012,2015-07-06 12:34:08:847,0.179811122,0.696182594
50,-0.161065,0.052391,-0.001946,26507,2015-07-06 12:34:09:342,0.169382815,0.643502616
51,0.063318,-0.143102,-0.042661,27007,2015-07-06 12:34:09:842,0.162195291,0.595371883
52,-0.041015,0.04326,0.012724,27507,2015-07-06 12:34:10:342,0.060955377,0.541930233
53,-0.487087,0.165107,0.110171,28010,2015-07-06 12:34:10:845,0.525976916,0.540334901
54,-0.394579,0.359253,0.056882,28507,2015-07-06 12:34:11:342,0.536647806,0.539966191
55,-0.187261,-0.037722,-0.223785,29007,2015-07-06 12:34:11:842,0.294226711,0.515392243
56,-0.013023,-0.022154,0.060624,29512,2015-07-06 12:34:12:347,0.065845787,0.470437598
57,-0.598605,0.306712,-0.184267,30012,2015-07-06 12:34:12:847,0.697391228,0.493132961
58,0.510888,-0.019759,-0.407153,30507,2015-07-06 12:34:13:342,0.653582843,0.509177949
59,0.359702,-0.126786,0.041464,31006,2015-07-06 12:34:13:841,0.383639781,0.496624132
60,0.193098,-0.05299,-0.039967,31514,2015-07-06 12:34:14:349,0.204186529,0.467380372
61,-0.087119,-0.105531,0.282762,32007,2015-07-06 12:34:14:842,0.3141351,0.452055845
62,0.091909,-0.102387,0.059277,32512,2015-07-06 12:34:15:347,0.149813633,0.421831624
63,-0.074395,-0.18771,-0.082478,33007,2015-07-06 12:34:15:842,0.218110707,0.401459532
64,-0.165107,-0.113165,-0.23082,33507,2015-07-06 12:34:16:342,0.30552334,0.391865913
65,0.938399,-0.330064,-0.163909,34006,2015-07-06 12:34:16:841,1.008167192,0.453496041
66,-0.001497,-0.111368,0.023351,34507,2015-07-06 12:34:17:342,0.113799568,0.419526393
67,0.016915,-0.229922,-0.128882,35007,2015-07-06 12:34:17:842,0.264122724,0.403986026
68,-0.116757,0.013921,-1.277443,35507,2015-07-06 12:34:18:342,1.282843174,0.491871741
69,3.139871,5.322931,2.295776,36007,2015-07-06 12:34:18:842,6.592645279,1.101949095
70,1.183439,-0.728535,0.694855,36507,2015-07-06 12:34:19:342,1.553742123,1.147128398
71,0.194595,0.953966,-1.407972,37007,2015-07-06 12:34:19:842,1.711812927,1.203596851
72,-0.536784,-0.397274,0.366887,37508,2015-07-06 12:34:20:343,0.761951287,1.159432294
73,-0.545765,-0.099244,0.358055,38007,2015-07-06 12:34:20:842,0.660236465,1.109512711
74,0.036674,0.195194,-1.051713,38507,2015-07-06 12:34:21:342,1.070301787,1.105591619
75,0.558189,-0.599503,1.25499,39007,2015-07-06 12:34:21:842,1.498658969,1.144898354
76,-0.445923,-0.268242,-0.55774,39507,2015-07-06 12:34:22:342,0.762807315,1.10668925
77,0.737217,-0.426463,-1.246308,40007,2015-07-06 12:34:22:842,1.509517548,1.14697208
78,1.686243,0.077988,-1.956132,40512,2015-07-06 12:34:23:347,2.583785979,1.29065347
79,-0.347727,-0.584983,-1.129701,41007,2015-07-06 12:34:23:842,1.318841737,1.293472296
80,0.512085,0.951721,0.476759,41507,2015-07-06 12:34:24:342,1.181229467,1.282248013
81,-1.045426,0.241448,0.682281,42007,2015-07-06 12:34:24:842,1.271503056,1.281173518
82,0.386646,-0.481848,0.141606,42507,2015-07-06 12:34:25:342,0.633817705,1.216437936
83,0.319436,-1.203647,-0.849334,43007,2015-07-06 12:34:25:842,1.507373113,1.245531454
84,-0.275128,0.363145,0.04326,43507,2015-07-06 12:34:26:342,0.457647392,1.166743048
85,-0.467478,0.035027,0.933609,44007,2015-07-06 12:34:26:842,1.044695332,1.154538276
86,0.938698,-0.002096,1.22161,44507,2015-07-06 12:34:27:342,1.540613294,1.193145778
87,0.828976,-0.084724,-0.850531,45006,2015-07-06 12:34:27:841,1.190706659,1.192901866
88,-0.716859,-0.215552,0.643961,45507,2015-07-06 12:34:28:342,0.987438737,1.172355553
89,-0.861758,0.236658,0.123194,46007,2015-07-06 12:34:28:842,0.902114528,1.145331451
90,0.054038,-0.355211,0.913999,46508,2015-07-06 12:34:29:343,0.982084076,1.129006713
91,0.058828,0.936004,-1.350791,47008,2015-07-06 12:34:29:843,1.644445362,1.180550578
92,-0.761017,-0.987946,0.428259,47507,2015-07-06 12:34:30:342,1.318556007,1.194351121
93,0.659678,0.38934,-0.17783,48007,2015-07-06 12:34:30:842,0.786374089,1.153553418
94,0.204175,0.251627,1.266666,48508,2015-07-06 12:34:31:343,1.307457966,1.168943873
95,-0.614622,-0.649649,-1.406176,49007,2015-07-06 12:34:31:842,1.666473813,1.218696867
96,-0.765658,0.04341,-0.342787,49507,2015-07-06 12:34:32:342,0.840011624,1.180828342
97,-0.398471,-0.397573,0.087718,50006,2015-07-06 12:34:32:841,0.569682259,1.119713734
98,-0.520318,-0.239801,-0.621358,50507,2015-07-06 12:34:33:342,0.845175192,1.09225988
99,0.525557,2.279161,1.521436,51009,2015-07-06 12:34:33:844,2.790260297,1.262059922
100,-1.018332,0.027692,-0.196841,51507,2015-07-06 12:34:34:342,1.037551583,1.239609088
101,1.307381,-3.282075,0.462538,52007,2015-07-06 12:34:34:842,3.563032807,1.47195146
102,-0.881966,-0.260309,0.512684,52509,2015-07-06 12:34:35:344,1.052838869,1.430040201
103,0.401465,0.12993,0.484243,53007,2015-07-06 12:34:35:842,0.6422984,1.351266021
104,0.839155,-1.165776,0.058079,53507,2015-07-06 12:34:36:342,1.437563204,1.359895739
105,-0.73557,-0.095801,2.228416,54007,2015-07-06 12:34:36:842,2.348633417,1.458769507
106,-0.743204,0.160915,0.505649,54507,2015-07-06 12:34:37:342,0.91319589,1.404212145
107,0.755778,-0.247136,0.574805,55007,2015-07-06 12:34:37:842,0.981161238,1.361907054
