,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM
0,4.268524,-4.078718,-0.108674,1507,2015-07-06 12:33:44:342,5.90491724755
1,-0.092657,1.784739,-0.028591,2009,2015-07-06 12:33:44:844,1.78737127174
2,0.131576,-0.722547,0.007634,2508,2015-07-06 12:33:45:343,0.734468984329
3,1.102158,-0.970881,-1.363365,3008,2015-07-06 12:33:45:843,2.00402751886
4,-0.142653,-0.052092,-0.367935,3507,2015-07-06 12:33:46:342,0.398044745095
5,-0.306712,0.031734,-0.436492,4006,2015-07-06 12:33:46:841,0.534419838483
6,-0.421972,-0.550555,-0.217647,4507,2015-07-06 12:33:47:342,0.727008523621
7,0.06721,-0.301922,-0.131876,5007,2015-07-06 12:33:47:842,0.336251925734
8,-0.014071,-0.053439,0.044158,5507,2015-07-06 12:33:48:342,0.0707364738024
9,-0.274529,-0.016765,-0.00464,6006,2015-07-06 12:33:48:841,0.275079564246
10,-0.256417,0.002096,0.026645,6507,2015-07-06 12:33:49:342,0.257806181326
11,0.523761,-0.257016,0.148491,7007,2015-07-06 12:33:49:842,0.602023576331
12,0.281714,-0.192649,-0.148641,7507,2015-07-06 12:33:50:342,0.372250670756
13,-0.099693,-0.109422,-0.068557,8006,2015-07-06 12:33:50:841,0.163131635749
14,0.145198,-0.302072,0.011975,8507,2015-07-06 12:33:51:342,0.33537047129
15,0.316442,-0.151335,0.125589,9007,2015-07-06 12:33:51:842,0.372572702315
16,-0.288151,-0.037272,-0.023052,9507,2015-07-06 12:33:52:342,0.291464569869
17,-0.017065,-0.073647,0.002245,10009,2015-07-06 12:33:52:844,0.0756315731623
18,-0.812211,0.12499,-0.233215,10507,2015-07-06 12:33:53:342,0.854223884498
19,-0.05793,-0.095052,0.149988,11006,2015-07-06 12:33:53:841,0.18678106903
20,0.693208,-0.214205,0.13472,11507,2015-07-06 12:33:54:342,0.737950263696
21,-0.078886,-0.247735,-0.186812,12007,2015-07-06 12:33:54:842,0.320147395062
22,-0.894839,0.204624,0.010778,12507,2015-07-06 12:33:55:342,0.917999990513
23,-0.369432,-0.257016,-0.332309,13007,2015-07-06 12:33:55:842,0.559434087593
24,-0.041314,-0.099992,-0.141606,13507,2015-07-06 12:33:56:342,0.178206357619
25,-0.238604,-0.032333,-0.023202,14007,2015-07-06 12:33:56:842,0.24190002999
26,0.272883,-0.35566,-0.562231,14510,2015-07-06 12:33:57:345,0.719070834237
27,0.795296,0.105531,-0.520767,15007,2015-07-06 12:33:57:842,0.956467870797
28,0.154179,-1.108595,-0.174387,15507,2015-07-06 12:33:58:342,1.13276867181
29,0.0723,-1.052761,-0.430954,16009,2015-07-06 12:33:58:844,1.13984839485
30,-0.182171,0.03353,-0.296384,16507,2015-07-06 12:33:59:342,0.349505378495
31,-0.098196,-0.14415,-0.251477,17007,2015-07-06 12:33:59:842,0.306043066324
32,0.066462,-0.136965,-0.221839,17507,2015-07-06 12:34:00:342,0.269052319429
33,0.151036,-0.152832,0.030237,18007,2015-07-06 12:34:00:842,0.216987948258
34,-0.09625,0.028591,0.169747,18508,2015-07-06 12:34:01:343,0.197219552251
35,-0.76446,-0.19699,-0.345781,19007,2015-07-06 12:34:01:842,0.861840270387
36,1.300047,0.075593,0.554746,19507,2015-07-06 12:34:02:342,1.41547858634
37,-0.849783,0.0241,-0.930315,20007,2015-07-06 12:34:02:842,1.26023726191
38,1.372047,-0.460143,-0.292492,20507,2015-07-06 12:34:03:342,1.47641326217
39,1.101709,-0.457748,0.821043,21007,2015-07-06 12:34:03:842,1.44824292162
40,-0.395328,-1.900747,-0.174986,21507,2015-07-06 12:34:04:342,1.94929307334
41,1.907334,0.032333,-0.238604,22007,2015-07-06 12:34:04:842,1.92247243914
42,-1.200653,-0.285007,-0.411345,22507,2015-07-06 12:34:05:342,1.30076951282
43,-0.083526,-0.072749,-0.08188,23007,2015-07-06 12:34:05:842,0.137743762389
44,0.29833,-0.041763,-0.136666,23507,2015-07-06 12:34:06:342,0.330790768651
