------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.2 Firmware v1.5.0 date format M/d/yyyy at 100 Hz  Filter Normal -----------,,,
Serial Number: MOS2C10156277,,,
Start Time 12:06:00,,,
Start Date 7/6/2015,,,
Epoch Period (hh:mm:ss) 00:00:00,,,
Download Time 12:15:54,,,
Download Date 7/6/2015,,,
Current Memory Address: 0,,,
Current Battery Voltage: 4.05     Mode = 12,,,
--------------------------------------------------,,,
Timestamp,Axis1,Axis2,Axis3
0.60,-0.766,0.605,-0.273
0.70,-1.047,-0.059,1.156
0.80,-1.063,-0.012,1.215
0.90,-0.969,0.125,0.352
1.00,-0.949,0.176,-0.031
1.10,-0.941,0.199,-0.191
1.20,-0.941,0.207,-0.254
1.30,-0.938,0.215,-0.277
1.40,-0.938,0.219,-0.289
1.50,-0.949,0.219,-0.293
1.60,-0.961,0.215,-0.293
1.70,-0.957,0.215,-0.293
1.80,-0.961,0.211,-0.293
1.90,-0.961,0.215,-0.293
2.00,-0.969,0.215,-0.281
2.10,-0.973,0.211,-0.285
2.20,-0.961,0.211,-0.297
2.30,-0.938,0.207,-0.316
2.40,-0.934,0.203,-0.34
2.50,-0.93,0.195,-0.352
2.60,-0.934,0.195,-0.355
2.70,-0.934,0.199,-0.355
2.80,-0.93,0.195,-0.355
2.90,-0.922,0.188,-0.359
3.00,-0.918,0.188,-0.352
3.10,-0.926,0.18,-0.344
3.20,-0.934,0.172,-0.34
3.30,-0.938,0.168,-0.332
3.40,-0.941,0.176,-0.324
3.50,-0.941,0.18,-0.316
3.60,-0.949,0.184,-0.309
3.70,-0.957,0.188,-0.309
3.80,-0.953,0.195,-0.305
3.90,-0.949,0.203,-0.297
4.00,-0.949,0.211,-0.297
4.10,-0.945,0.219,-0.293
4.20,-0.941,0.227,-0.281
4.30,-0.938,0.238,-0.273
4.40,-0.938,0.246,-0.266
4.50,-0.945,0.254,-0.262
4.60,-0.941,0.266,-0.25
4.70,-0.941,0.273,-0.234
4.80,-0.945,0.277,-0.223
4.90,-0.949,0.285,-0.215
