LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.268524,-4.078718,-0.108674,1507,2015-07-06 12:33:44:342
-0.092657,1.784739,-0.028591,2009,2015-07-06 12:33:44:844
0.131576,-0.722547,0.007634,2508,2015-07-06 12:33:45:343
1.102158,-0.970881,-1.363365,3008,2015-07-06 12:33:45:843
-0.142653,-0.052092,-0.367935,3507,2015-07-06 12:33:46:342
-0.306712,0.031734,-0.436492,4006,2015-07-06 12:33:46:841
-0.421972,-0.550555,-0.217647,4507,2015-07-06 12:33:47:342
0.06721,-0.301922,-0.131876,5007,2015-07-06 12:33:47:842
-0.014071,-0.053439,0.044158,5507,2015-07-06 12:33:48:342
-0.274529,-0.016765,-0.00464,6006,2015-07-06 12:33:48:841
-0.256417,0.002096,0.026645,6507,2015-07-06 12:33:49:342
0.523761,-0.257016,0.148491,7007,2015-07-06 12:33:49:842
0.281714,-0.192649,-0.148641,7507,2015-07-06 12:33:50:342
-0.099693,-0.109422,-0.068557,8006,2015-07-06 12:33:50:841
0.145198,-0.302072,0.011975,8507,2015-07-06 12:33:51:342
0.316442,-0.151335,0.125589,9007,2015-07-06 12:33:51:842
-0.288151,-0.037272,-0.023052,9507,2015-07-06 12:33:52:342
-0.017065,-0.073647,0.002245,10009,2015-07-06 12:33:52:844
-0.812211,0.12499,-0.233215,10507,2015-07-06 12:33:53:342
-0.05793,-0.095052,0.149988,11006,2015-07-06 12:33:53:841
0.693208,-0.214205,0.13472,11507,2015-07-06 12:33:54:342
-0.078886,-0.247735,-0.186812,12007,2015-07-06 12:33:54:842
-0.894839,0.204624,0.010778,12507,2015-07-06 12:33:55:342
-0.369432,-0.257016,-0.332309,13007,2015-07-06 12:33:55:842
-0.041314,-0.099992,-0.141606,13507,2015-07-06 12:33:56:342
-0.238604,-0.032333,-0.023202,14007,2015-07-06 12:33:56:842
0.272883,-0.35566,-0.562231,14510,2015-07-06 12:33:57:345
0.795296,0.105531,-0.520767,15007,2015-07-06 12:33:57:842
0.154179,-1.108595,-0.174387,15507,2015-07-06 12:33:58:342
0.0723,-1.052761,-0.430954,16009,2015-07-06 12:33:58:844
-0.182171,0.03353,-0.296384,16507,2015-07-06 12:33:59:342
-0.098196,-0.14415,-0.251477,17007,2015-07-06 12:33:59:842
0.066462,-0.136965,-0.221839,17507,2015-07-06 12:34:00:342
0.151036,-0.152832,0.030237,18007,2015-07-06 12:34:00:842
-0.09625,0.028591,0.169747,18508,2015-07-06 12:34:01:343
-0.76446,-0.19699,-0.345781,19007,2015-07-06 12:34:01:842
1.300047,0.075593,0.554746,19507,2015-07-06 12:34:02:342
-0.849783,0.0241,-0.930315,20007,2015-07-06 12:34:02:842
1.372047,-0.460143,-0.292492,20507,2015-07-06 12:34:03:342
1.101709,-0.457748,0.821043,21007,2015-07-06 12:34:03:842
-0.395328,-1.900747,-0.174986,21507,2015-07-06 12:34:04:342
1.907334,0.032333,-0.238604,22007,2015-07-06 12:34:04:842
-1.200653,-0.285007,-0.411345,22507,2015-07-06 12:34:05:342
-0.083526,-0.072749,-0.08188,23007,2015-07-06 12:34:05:842
0.29833,-0.041763,-0.136666,23507,2015-07-06 12:34:06:342
0.382006,-0.057331,-0.083077,24007,2015-07-06 12:34:06:842
0.104183,-0.104183,0.100142,24507,2015-07-06 12:34:07:342
-0.392184,0.130229,0.168699,25007,2015-07-06 12:34:07:842
0.246388,-0.329016,0.032033,25507,2015-07-06 12:34:08:342
-0.160167,-0.060774,-0.054636,26012,2015-07-06 12:34:08:847
-0.161065,0.052391,-0.001946,26507,2015-07-06 12:34:09:342
0.063318,-0.143102,-0.042661,27007,2015-07-06 12:34:09:842
-0.041015,0.04326,0.012724,27507,2015-07-06 12:34:10:342
-0.487087,0.165107,0.110171,28010,2015-07-06 12:34:10:845
-0.394579,0.359253,0.056882,28507,2015-07-06 12:34:11:342
-0.187261,-0.037722,-0.223785,29007,2015-07-06 12:34:11:842
-0.013023,-0.022154,0.060624,29512,2015-07-06 12:34:12:347
-0.598605,0.306712,-0.184267,30012,2015-07-06 12:34:12:847
0.510888,-0.019759,-0.407153,30507,2015-07-06 12:34:13:342
0.359702,-0.126786,0.041464,31006,2015-07-06 12:34:13:841
0.193098,-0.05299,-0.039967,31514,2015-07-06 12:34:14:349
-0.087119,-0.105531,0.282762,32007,2015-07-06 12:34:14:842
0.091909,-0.102387,0.059277,32512,2015-07-06 12:34:15:347
-0.074395,-0.18771,-0.082478,33007,2015-07-06 12:34:15:842
-0.165107,-0.113165,-0.23082,33507,2015-07-06 12:34:16:342
0.938399,-0.330064,-0.163909,34006,2015-07-06 12:34:16:841
-0.001497,-0.111368,0.023351,34507,2015-07-06 12:34:17:342
0.016915,-0.229922,-0.128882,35007,2015-07-06 12:34:17:842
-0.116757,0.013921,-1.277443,35507,2015-07-06 12:34:18:342
3.139871,5.322931,2.295776,36007,2015-07-06 12:34:18:842
1.183439,-0.728535,0.694855,36507,2015-07-06 12:34:19:342
0.194595,0.953966,-1.407972,37007,2015-07-06 12:34:19:842
-0.536784,-0.397274,0.366887,37508,2015-07-06 12:34:20:343
-0.545765,-0.099244,0.358055,38007,2015-07-06 12:34:20:842
0.036674,0.195194,-1.051713,38507,2015-07-06 12:34:21:342
0.558189,-0.599503,1.25499,39007,2015-07-06 12:34:21:842
-0.445923,-0.268242,-0.55774,39507,2015-07-06 12:34:22:342
0.737217,-0.426463,-1.246308,40007,2015-07-06 12:34:22:842
1.686243,0.077988,-1.956132,40512,2015-07-06 12:34:23:347
-0.347727,-0.584983,-1.129701,41007,2015-07-06 12:34:23:842
0.512085,0.951721,0.476759,41507,2015-07-06 12:34:24:342
-1.045426,0.241448,0.682281,42007,2015-07-06 12:34:24:842
0.386646,-0.481848,0.141606,42507,2015-07-06 12:34:25:342
