Timestamp,Axis1,Axis2,Axis3
05:00.0,0.18,-0.996,0.059
05:00.0,-0.629,-0.883,1.23
05:00.0,-0.438,-0.852,1.168
05:00.0,0.121,-1.004,0.438
05:00.0,0.234,-1.195,0.266
05:00.0,0.168,-1.016,0.137
05:00.1,0.215,-0.863,-0.164
05:00.1,0.113,-1.184,-0.52
05:00.1,-0.145,-1.402,-0.875
05:00.1,-0.047,-1.535,-0.664
05:00.1,0.102,-1.633,-0.465
05:00.1,0.148,-1.625,-0.473
05:00.1,0.148,-1.551,-0.473
05:00.1,0.156,-1.43,-0.426
05:00.1,0.23,-1.262,-0.352
05:00.1,0.227,-0.973,-0.23
05:00.2,0.117,-0.781,-0.281
05:00.2,0.02,-0.746,-0.316
05:00.2,-0.047,-0.684,-0.27
05:00.2,-0.102,-0.816,-0.555
05:00.2,-0.074,-0.898,-0.68
05:00.2,-0.066,-0.91,-0.75
05:00.2,-0.121,-0.902,-0.828
05:00.2,-0.184,-0.816,-0.793
05:00.2,-0.191,-0.734,-0.711
05:00.2,-0.164,-0.637,-0.637
05:00.3,0.016,-0.449,-0.25
05:00.3,0.191,-0.434,-0.078
05:00.3,0.125,-0.547,-0.395
05:00.3,-0.082,-0.617,-0.754
05:00.3,-0.145,-0.676,-0.883
05:00.3,-0.012,-0.734,-0.805
05:00.3,0.164,-0.77,-0.734
05:00.3,0.242,-0.777,-0.707
05:00.3,0.148,-0.766,-0.711
05:00.3,-0.016,-0.715,-0.746
05:00.4,-0.109,-0.66,-0.742
05:00.4,-0.176,-0.594,-0.68
05:00.4,-0.207,-0.516,-0.586
05:00.4,-0.137,-0.57,-0.617
05:00.4,-0.082,-0.586,-0.613
05:00.4,-0.098,-0.625,-0.609
05:00.4,-0.223,-0.711,-0.598
05:00.4,-0.363,-0.754,-0.523
05:00.4,-0.445,-0.625,-0.445
05:00.4,-0.516,-0.438,-0.508
05:00.5,-0.488,-0.492,-0.543
05:00.5,-0.367,-0.48,-0.563
05:00.5,-0.391,-0.371,-0.738
