,Timestamp,Axis1,Axis2,Axis3,SUM,FILTER
0,0 days 00:00:00.000000000,-0.285,0.547,0.633,0.883811631514,0.883811631514
1,0 days 00:00:00.010000000,-0.078,0.461,0.543,0.71655704588,0.867086172951
2,0 days 00:00:00.020000000,0.234,0.375,0.324,0.548048355531,0.835182391209
3,0 days 00:00:00.030000000,0.656,0.289,0.043,0.718126729763,0.823476825064
4,0 days 00:00:00.040000000,1.004,0.172,-0.098,1.02332985884,0.843462128442
5,0 days 00:00:00.050000000,1.039,-0.016,-0.219,1.06195009299,0.865310924897
6,0 days 00:00:00.060000000,0.754,-0.152,-0.25,0.808776854268,0.859657517834
7,0 days 00:00:00.070000000,0.262,-0.168,-0.25,0.39920921833,0.813612687884
8,0 days 00:00:00.080000000,-0.18,-0.125,-0.219,0.30981607447,0.763233026542
9,0 days 00:00:00.090000000,-0.41,0.004,-0.18,0.447790129413,0.731688736829
10,0 days 00:00:00.100000000,-0.492,0.066,-0.168,0.524064881479,0.710926351294
11,0 days 00:00:00.110000000,-0.5,0.094,-0.109,0.52030471841,0.691864188006
12,0 days 00:00:00.120000000,-0.605,0.293,-0.027,0.672757757295,0.689953544935
13,0 days 00:00:00.130000000,-0.805,0.457,-0.039,0.926496087418,0.713607799183
14,0 days 00:00:00.140000000,-0.844,0.445,-0.023,0.954405574166,0.737687576681
15,0 days 00:00:00.150000000,-0.707,0.395,0.027,0.81031043434,0.744949862447
16,0 days 00:00:00.160000000,-0.512,0.344,0.051,0.618935376271,0.73234841383
17,0 days 00:00:00.170000000,-0.352,0.254,0.012,0.434239565217,0.702537528968
18,0 days 00:00:00.180000000,-0.207,0.168,-0.051,0.27142954887,0.659426730959
19,0 days 00:00:00.190000000,-0.09,0.098,-0.086,0.158429795178,0.609327037381
20,0 days 00:00:00.200000000,-0.004,0.012,-0.098,0.0988129546163,0.558275629104
21,0 days 00:00:00.210000000,0.035,-0.055,-0.082,0.10475686135,0.512923752329
22,0 days 00:00:00.220000000,0.023,-0.066,-0.059,0.0914658406182,0.470777961158
23,0 days 00:00:00.230000000,-0.059,-0.07,-0.07,0.115243221059,0.435224487148
24,0 days 00:00:00.240000000,-0.188,-0.043,-0.109,0.221526522114,0.413854690644
25,0 days 00:00:00.250000000,-0.301,0.02,-0.125,0.326536368572,0.405122858437
26,0 days 00:00:00.260000000,-0.371,0.105,-0.152,0.414451444683,0.406055717062
27,0 days 00:00:00.270000000,-0.418,0.133,-0.117,0.453984581236,0.410848603479
28,0 days 00:00:00.280000000,-0.469,0.148,-0.078,0.497944776055,0.419558220737
29,0 days 00:00:00.290000000,-0.488,0.172,-0.023,0.517935324148,0.429395931078
30,0 days 00:00:00.300000000,-0.523,0.164,0.016,0.548343870213,0.441290724991
31,0 days 00:00:00.310000000,-0.574,0.16,0.043,0.597432004499,0.456904852942
32,0 days 00:00:00.320000000,-0.586,0.156,0.09,0.61305138447,0.472519506095
33,0 days 00:00:00.330000000,-0.563,0.164,0.113,0.59718841248,0.484986396733
