Timestamp,Axis1,Axis2,Axis3
7/16/2015 10:42:48.350,-0.285,0.547,0.633
7/16/2015 10:42:48.360,-0.078,0.461,0.543
7/16/2015 10:42:48.370,0.234,0.375,0.324
7/16/2015 10:42:48.380,0.656,0.289,0.043
7/16/2015 10:42:48.390,1.004,0.172,-0.098
7/16/2015 10:42:48.400,1.039,-0.016,-0.219
7/16/2015 10:42:48.410,0.754,-0.152,-0.25
7/16/2015 10:42:48.420,0.262,-0.168,-0.25
7/16/2015 10:42:48.430,-0.18,-0.125,-0.219
7/16/2015 10:42:48.440,-0.41,0.004,-0.18
7/16/2015 10:42:48.450,-0.492,0.066,-0.168
7/16/2015 10:42:48.460,-0.5,0.094,-0.109
7/16/2015 10:42:48.470,-0.605,0.293,-0.027
7/16/2015 10:42:48.480,-0.805,0.457,-0.039
7/16/2015 10:42:48.490,-0.844,0.445,-0.023
7/16/2015 10:42:48.500,-0.707,0.395,0.027
7/16/2015 10:42:48.510,-0.512,0.344,0.051
7/16/2015 10:42:48.520,-0.352,0.254,0.012
7/16/2015 10:42:48.530,-0.207,0.168,-0.051
7/16/2015 10:42:48.540,-0.09,0.098,-0.086
7/16/2015 10:42:48.550,-0.004,0.012,-0.098
7/16/2015 10:42:48.560,0.035,-0.055,-0.082
7/16/2015 10:42:48.570,0.023,-0.066,-0.059
7/16/2015 10:42:48.580,-0.059,-0.07,-0.07
7/16/2015 10:42:48.590,-0.188,-0.043,-0.109
7/16/2015 10:42:48.600,-0.301,0.02,-0.125
7/16/2015 10:42:48.610,-0.371,0.105,-0.152
7/16/2015 10:42:48.620,-0.418,0.133,-0.117
7/16/2015 10:42:48.630,-0.469,0.148,-0.078
7/16/2015 10:42:48.640,-0.488,0.172,-0.023
7/16/2015 10:42:48.650,-0.523,0.164,0.016
7/16/2015 10:42:48.660,-0.574,0.16,0.043
7/16/2015 10:42:48.670,-0.586,0.156,0.09
7/16/2015 10:42:48.680,-0.563,0.164,0.113
7/16/2015 10:42:48.690,-0.523,0.184,0.09
7/16/2015 10:42:48.700,-0.457,0.23,0.063
7/16/2015 10:42:48.710,-0.375,0.301,0.047
7/16/2015 10:42:48.720,-0.297,0.367,0.059
7/16/2015 10:42:48.730,-0.223,0.43,0.086
7/16/2015 10:42:48.740,-0.172,0.445,0.105
7/16/2015 10:42:48.750,-0.156,0.43,0.098
7/16/2015 10:42:48.760,-0.164,0.465,0.109
7/16/2015 10:42:48.770,-0.164,0.621,0.258
7/16/2015 10:42:48.780,-0.168,0.668,0.379
7/16/2015 10:42:48.790,-0.316,0.742,0.301
7/16/2015 10:42:48.800,-0.613,0.828,0.285
7/16/2015 10:42:48.810,-1.176,0.895,0.199
7/16/2015 10:42:48.820,-1.852,0.918,0.066
7/16/2015 10:42:48.830,-2.414,1.262,0.082
7/16/2015 10:42:48.840,-3.168,1.48,0.031
7/16/2015 10:42:48.850,-3.668,1.645,0.145
7/16/2015 10:42:48.860,-3.141,1.625,0.25
7/16/2015 10:42:48.870,-2.305,1.535,0.184
7/16/2015 10:42:48.880,-1.832,1.438,0.109
7/16/2015 10:42:48.890,-1.566,1.301,0.09
7/16/2015 10:42:48.900,-1.523,1.059,0.09
7/16/2015 10:42:48.910,-1.695,0.738,-0.078
7/16/2015 10:42:48.920,-1.816,0.457,-0.219
7/16/2015 10:42:48.930,-1.762,0.215,-0.227
7/16/2015 10:42:48.940,-1.625,0.027,-0.184
7/16/2015 10:42:48.950,-1.473,-0.113,-0.16
7/16/2015 10:42:48.960,-1.281,-0.125,-0.168
7/16/2015 10:42:48.970,-1.098,0.066,-0.105
7/16/2015 10:42:48.980,-0.91,0.281,0
7/16/2015 10:42:48.990,-0.688,0.418,0.063
7/16/2015 10:42:49.000,-0.48,0.57,0.105
7/16/2015 10:42:49.010,-0.371,0.578,0.195
7/16/2015 10:42:49.020,-0.414,0.57,0.203
7/16/2015 10:42:49.030,-0.547,0.465,0.207
7/16/2015 10:42:49.040,-0.715,0.352,0.129
7/16/2015 10:42:49.050,-0.816,0.285,0.043
7/16/2015 10:42:49.060,-0.781,0.234,-0.086
7/16/2015 10:42:49.070,-0.59,0.227,-0.176
7/16/2015 10:42:49.080,-0.398,0.262,-0.16
7/16/2015 10:42:49.090,-0.336,0.238,-0.133
7/16/2015 10:42:49.100,-0.422,0.215,-0.113
7/16/2015 10:42:49.110,-0.563,0.219,-0.086
7/16/2015 10:42:49.120,-0.695,0.258,-0.023
7/16/2015 10:42:49.130,-0.801,0.313,0.082
7/16/2015 10:42:49.140,-0.91,0.379,0.203
7/16/2015 10:42:49.150,-1.004,0.434,0.242
7/16/2015 10:42:49.160,-1.012,0.465,0.172
7/16/2015 10:42:49.170,-0.922,0.5,0.063
7/16/2015 10:42:49.180,-0.813,0.535,-0.055
7/16/2015 10:42:49.190,-0.773,0.547,-0.156
7/16/2015 10:42:49.200,-0.789,0.555,-0.215
7/16/2015 10:42:49.210,-0.824,0.551,-0.227
7/16/2015 10:42:49.220,-0.859,0.523,-0.211
7/16/2015 10:42:49.230,-0.887,0.48,-0.184
7/16/2015 10:42:49.240,-0.91,0.434,-0.164
