Timestamp,Axis1,Axis2,Axis3
0.6,0.063,0.512,0.809
0.7,-0.461,-0.469,1.512
0.8,-0.277,-0.918,1.434
0.9,-0.098,-0.957,0.605
1,-0.063,-0.969,0.211
1.1,-0.066,-0.973,0.055
1.2,-0.066,-0.992,-0.031
1.3,-0.059,-1.043,-0.16
1.4,-0.039,-1.082,-0.109
1.5,-0.027,-1.082,-0.035
1.6,-0.027,-1.07,-0.02
1.7,-0.055,-1.063,-0.195
1.8,-0.043,-1.063,-0.254
1.9,0.008,-1.016,-0.121
2,0.07,-0.98,-0.063
2.1,0.086,-0.973,0.031
2.2,0.078,-0.992,0.027
2.3,0.051,-1.059,-0.031
2.4,0.016,-1.09,-0.039
2.5,-0.004,-1.137,-0.016
2.6,-0.027,-1.148,-0.016
2.7,-0.035,-1.125,-0.008
2.8,-0.031,-1.09,-0.012
2.9,-0.031,-1.055,-0.008
3,-0.043,-1.031,-0.008
3.1,-0.063,-1.012,-0.008
3.2,-0.082,-1,-0.004
3.3,-0.094,-1.008,0.008
3.4,-0.086,-1.016,0.023
3.5,-0.082,-1.008,0.043
3.6,-0.09,-0.988,0.063
3.7,-0.102,-0.961,0.086
3.8,-0.109,-0.941,0.109
3.9,-0.113,-0.926,0.141
4,-0.117,-0.93,0.16
4.1,-0.113,-0.945,0.164
4.2,-0.105,-0.957,0.168
4.3,-0.098,-0.957,0.172
4.4,-0.078,-0.961,0.176
4.5,-0.059,-0.973,0.176
4.6,-0.023,-0.996,0.176
4.7,0.016,-1.023,0.188
4.8,0.039,-1.047,0.188
4.9,0.047,-1.051,0.184
5,0.047,-1.031,0.168
5.1,0.043,-1.023,0.156
5.2,0.023,-1.027,0.133
5.3,0.004,-1.023,0.102
5.4,-0.02,-1.023,0.086
5.5,-0.035,-1.027,0.051
5.6,-0.051,-1.012,0.027
5.7,-0.047,-1.004,0.02
5.8,-0.051,-1,0.02
5.9,-0.039,-0.992,0.039
6,-0.023,-0.984,0.059
6.1,-0.023,-0.984,0.07
6.2,-0.039,-0.992,0.063
6.3,-0.063,-1.008,0.051
6.4,-0.09,-1.031,0.039
6.5,-0.113,-1.059,0.035
6.6,-0.145,-1.09,0.043
6.7,-0.168,-1.133,0.051
6.8,-0.168,-1.164,0.059
6.9,-0.145,-1.18,0.063
7,-0.117,-1.184,0.059
7.1,-0.09,-1.211,0.055
7.2,-0.086,-1.246,0.027
7.3,-0.086,-1.301,0.004
7.4,-0.098,-1.348,-0.004
7.5,-0.105,-1.383,-0.121
7.6,-0.121,-1.398,-0.184
7.7,-0.129,-1.383,-0.141
7.8,-0.145,-1.383,-0.152
7.9,-0.176,-1.418,-0.145
8,-0.211,-1.441,-0.117
8.1,-0.227,-1.434,-0.102
8.2,-0.23,-1.383,-0.051
8.3,-0.203,-1.348,0.016
8.4,-0.184,-1.297,0.035
8.5,-0.164,-1.246,0.063
8.6,-0.172,-1.203,0.078
8.7,-0.188,-1.215,0.129
8.8,-0.184,-1.188,0.16
8.9,-0.195,-1.199,0.199
9,-0.246,-1.168,0.176
9.1,-0.273,-1.133,0.188
9.2,-0.285,-1.074,0.199
9.3,-0.316,-1.023,0.195
9.4,-0.355,-0.988,0.188
9.5,-0.367,-0.973,0.188
9.6,-0.375,-0.953,0.184
9.7,-0.375,-0.949,0.18
9.8,-0.371,-0.969,0.164
9.9,-0.375,-0.984,0.145
10,-0.391,-0.977,0.102
10.1,-0.402,-0.953,0.066
10.2,-0.395,-0.922,0.043
10.3,-0.359,-0.898,0.031
10.4,-0.324,-0.887,0.043
10.5,-0.301,-0.895,0.051
10.6,-0.289,-0.887,0.027
10.7,-0.289,-0.879,0
10.8,-0.289,-0.867,-0.043
10.9,-0.277,-0.867,-0.09
11,-0.277,-0.914,-0.117
11.1,-0.324,-0.934,-0.129
11.2,-0.398,-0.949,-0.137
11.3,-0.5,-0.973,-0.16
11.4,-0.531,-0.992,-0.215
11.5,-0.543,-0.953,-0.207
11.6,-0.547,-0.941,-0.184
11.7,-0.504,-1.016,-0.176
11.8,-0.461,-1.086,-0.129
11.9,-0.43,-1.129,-0.102
12,-0.406,-1.148,-0.082
12.1,-0.395,-1.156,-0.094
12.2,-0.391,-1.137,-0.086
12.3,-0.387,-1.098,-0.082
12.4,-0.398,-1.031,-0.07
12.5,-0.406,-0.988,-0.07
12.6,-0.387,-0.961,-0.063
12.7,-0.332,-0.961,-0.016
12.8,-0.301,-0.945,0.008
12.9,-0.273,-0.965,0
13,-0.27,-1,-0.027
13.1,-0.266,-1.02,-0.059
13.2,-0.273,-1.027,-0.059
13.3,-0.27,-1.004,-0.047
13.4,-0.273,-0.992,-0.074
13.5,-0.305,-0.934,-0.031
13.6,-0.348,-0.875,-0.02
13.7,-0.371,-0.867,-0.027
13.8,-0.363,-0.871,-0.012
13.9,-0.352,-0.875,0.031
14,-0.313,-0.906,0.027
14.1,-0.285,-0.922,0.031
14.2,-0.242,-0.906,0.027
14.3,-0.203,-0.867,0.012
14.4,-0.172,-0.836,0
14.5,-0.156,-0.836,-0.016
14.6,-0.148,-0.84,-0.016
14.7,-0.152,-0.852,-0.008
14.8,-0.156,-0.855,0
14.9,-0.152,-0.828,-0.004
15,-0.156,-0.832,0
15.1,-0.16,-0.852,0.004
15.2,-0.086,-0.828,0.059
15.3,0.27,-0.746,1
15.4,0.309,-0.621,0.977
15.5,-0.043,-0.645,0.41
15.6,-0.418,-0.648,0.184
15.7,-0.594,-0.75,-0.145
15.8,-0.48,-0.73,-0.102
15.9,-0.266,-0.797,0.273
16,-0.188,-0.816,0.395
16.1,-0.285,-0.914,0.055
16.2,-0.301,-0.828,-0.008
16.3,-0.25,-1.02,-0.195
16.4,-0.246,-0.984,-0.172
16.5,-0.262,-0.879,-0.02
16.6,-0.188,-0.734,0.188
16.7,-0.148,-0.68,0.301
16.8,-0.164,-0.711,0.352
16.9,-0.184,-0.688,0.426
17,-0.262,-0.668,0.402
17.1,-0.359,-0.625,0.336
17.2,-0.418,-0.73,0.09
17.3,-0.344,-0.918,-0.309
17.4,-0.27,-0.906,-0.379
17.5,-0.277,-0.738,-0.207
17.6,-0.281,-0.684,-0.047
17.7,-0.25,-0.758,-0.051
17.8,-0.152,-0.898,-0.09
17.9,-0.09,-0.867,0.055
18,-0.094,-0.645,0.324
18.1,-0.117,-0.57,0.563
18.2,-0.277,-0.355,0.648
18.3,-0.473,-0.301,0.852
18.4,-0.582,-0.367,1.039
18.5,-0.609,-0.332,1.219
18.6,-0.617,-0.234,1.324
18.7,-0.629,-0.371,1.367
18.8,-0.672,-0.406,1.137
18.9,-0.75,-0.547,0.711
19,-0.848,-0.656,0.305
19.1,-0.855,-0.566,0.078
19.2,-0.824,-0.527,0.02
19.3,-0.785,-0.523,0.141
19.4,-0.715,-0.488,0.383
19.5,-0.676,-0.406,0.719
19.6,-0.648,-0.355,0.953
19.7,-0.621,-0.348,1.027
19.8,-0.602,-0.363,0.988
19.9,-0.617,-0.332,0.91
20,-0.633,-0.289,0.844
20.1,-0.645,-0.297,0.785
20.2,-0.629,-0.301,0.695
20.3,-0.602,-0.355,0.652
20.4,-0.547,-0.355,0.68
20.5,-0.488,-0.336,0.684
20.6,-0.465,-0.344,0.691
20.7,-0.461,-0.34,0.676
20.8,-0.469,-0.336,0.668
20.9,-0.488,-0.344,0.684
21,-0.523,-0.363,0.734
21.1,-0.57,-0.305,0.809
21.2,-0.586,-0.289,0.855
21.3,-0.586,-0.293,0.914
21.4,-0.574,-0.285,0.871
21.5,-0.57,-0.305,0.855
21.6,-0.594,-0.223,0.887
21.7,-0.629,-0.137,0.973
21.8,-0.668,-0.133,1.125
21.9,-0.68,-0.148,1.09
22,-0.676,-0.18,1.023
22.1,-0.664,-0.117,1.023
22.2,-0.641,-0.043,1.043
22.3,-0.609,0.063,1.113
22.4,-0.563,0.051,1.148
22.5,-0.52,0.051,1.117
22.6,-0.457,-0.047,1.102
22.7,-0.426,-0.004,1.063
22.8,-0.441,0.031,0.824
22.9,-0.477,-0.094,0.547
23,-0.461,-0.223,0.402
23.1,-0.453,-0.172,0.445
23.2,-0.434,-0.105,0.484
23.3,-0.422,-0.152,0.523
23.4,-0.438,-0.223,0.57
23.5,-0.48,-0.246,0.574
23.6,-0.547,-0.254,0.594
23.7,-0.582,-0.254,0.609
23.8,-0.609,-0.246,0.699
23.9,-0.582,-0.262,0.789
24,-0.543,-0.168,0.98
24.1,-0.523,-0.109,1.145
24.2,-0.504,-0.074,1.23
24.3,-0.484,-0.039,1.262
24.4,-0.453,-0.027,1.262
24.5,-0.414,-0.055,1.23
24.6,-0.398,-0.051,1.145
24.7,-0.422,0.109,1.18
24.8,-0.465,0.098,1.25
24.9,-0.527,0.078,1.063
25,-0.602,0.055,0.926
25.1,-0.684,-0.027,0.695
25.2,-0.723,-0.07,0.434
25.3,-0.707,-0.063,0.273
