,Timestamp,Axis1,Axis2,Axis3,SUM,FILTER
0,0 days 00:00:00.000000000,0.664,0.129,0.699,0.972696252691,0.972696252691
1,0 days 00:00:00.010000000,0.703,0.27,0.949,1.21149081713,0.996575709136
2,0 days 00:00:00.020000000,0.613,0.387,1.074,1.2957677261,1.02649491083
3,0 days 00:00:00.030000000,0.43,0.484,1.02,1.20812085488,1.04465750524
4,0 days 00:00:00.040000000,0.207,0.563,0.773,0.978441107068,1.03803586542
5,0 days 00:00:00.050000000,-0.129,0.766,-0.094,0.782453193488,1.01247759823
6,0 days 00:00:00.060000000,-0.59,0.695,-0.801,1.21355922806,1.03258576121
7,0 days 00:00:00.070000000,-0.711,0.289,-0.563,0.951846101006,1.02451179519
8,0 days 00:00:00.080000000,-0.535,0.168,-0.047,0.562723733283,0.978332988999
9,0 days 00:00:00.090000000,-0.324,0.113,0.145,0.372518455919,0.917751535691
10,0 days 00:00:00.100000000,-0.211,0.031,0.051,0.219278361906,0.847904218312
11,0 days 00:00:00.110000000,-0.191,0.023,-0.035,0.195537720146,0.782667568496
12,0 days 00:00:00.120000000,-0.215,0.086,0.016,0.232114196033,0.727612231249
13,0 days 00:00:00.130000000,-0.246,0.195,0.164,0.35417086272,0.690268094396
14,0 days 00:00:00.140000000,-0.316,0.266,0.262,0.489138017333,0.67015508669
15,0 days 00:00:00.150000000,-0.402,0.324,0.324,0.609553935267,0.664094971548
16,0 days 00:00:00.160000000,-0.434,0.391,0.324,0.667991766416,0.664484651035
17,0 days 00:00:00.170000000,-0.383,0.457,0.199,0.628600827235,0.660896268655
18,0 days 00:00:00.180000000,-0.262,0.477,0.059,0.54740661304,0.649547303093
19,0 days 00:00:00.190000000,-0.16,0.457,0.031,0.485190684164,0.6331116412
20,0 days 00:00:00.200000000,-0.105,0.418,0.086,0.439482650397,0.61374874212
21,0 days 00:00:00.210000000,-0.078,0.371,0.109,0.394469263695,0.591820794277
22,0 days 00:00:00.220000000,-0.055,0.32,0.129,0.349379449882,0.567576659838
23,0 days 00:00:00.230000000,-0.047,0.297,0.203,0.36280435499,0.547099429353
24,0 days 00:00:00.240000000,-0.113,0.293,0.242,0.396461851885,0.532035671606
25,0 days 00:00:00.250000000,-0.246,0.297,0.188,0.429032632791,0.521735367725
26,0 days 00:00:00.260000000,-0.355,0.309,0.051,0.473399408534,0.516901771806
27,0 days 00:00:00.270000000,-0.391,0.348,0.031,0.524352934577,0.517646888083
28,0 days 00:00:00.280000000,-0.324,0.383,0.055,0.504668207836,0.516349020058
29,0 days 00:00:00.290000000,-0.223,0.379,0.043,0.441835942404,0.508897712293
30,0 days 00:00:00.300000000,-0.129,0.348,0.055,0.375193283522,0.495527269416
31,0 days 00:00:00.310000000,-0.082,0.316,0.105,0.34293585406,0.48026812788
32,0 days 00:00:00.320000000,-0.082,0.32,0.191,0.381582232291,0.470399538321
33,0 days 00:00:00.330000000,-0.102,0.328,0.234,0.415624830827,0.464922067572
34,0 days 00:00:00.340000000,-0.129,0.332,0.227,0.422367138873,0.460666574702
35,0 days 00:00:00.350000000,-0.172,0.336,0.176,0.41648049174,0.456247966406
36,0 days 00:00:00.360000000,-0.223,0.359,0.172,0.45628280704,0.456251450469
37,0 days 00:00:00.370000000,-0.238,0.375,0.191,0.483476990145,0.458974004437
38,0 days 00:00:00.380000000,-0.227,0.387,0.215,0.497516833886,0.462828287382
39,0 days 00:00:00.390000000,-0.168,0.379,0.262,0.490417169357,0.465587175579
40,0 days 00:00:00.400000000,-0.105,0.363,0.348,0.513710034942,0.470399461515
41,0 days 00:00:00.410000000,-0.059,0.391,0.449,0.598300091927,0.483189524557
42,0 days 00:00:00.420000000,-0.094,0.477,0.473,0.678302292492,0.50270080135
43,0 days 00:00:00.430000000,-0.215,0.59,0.516,0.812761342585,0.533706855474
44,0 days 00:00:00.440000000,-0.383,0.672,0.563,0.956682810549,0.576004450981
45,0 days 00:00:00.450000000,-0.547,0.742,0.602,1.10098910076,0.628502915959
46,0 days 00:00:00.460000000,-0.664,0.793,0.613,1.20229530482,0.685882154846
47,0 days 00:00:00.470000000,-0.699,0.816,0.613,1.2370230394,0.740996243301
48,0 days 00:00:00.480000000,-0.688,0.797,0.609,1.21631985925,0.788528604896
49,0 days 00:00:00.490000000,-0.637,0.766,0.652,1.19064226365,0.828739970771
50,0 days 00:00:00.500000000,-0.582,0.734,0.707,1.17359660872,0.863225634566
51,0 days 00:00:00.510000000,-0.551,0.762,0.762,1.21032598915,0.897935670024
52,0 days 00:00:00.520000000,-0.613,0.816,0.754,1.26891331461,0.935033434483
53,0 days 00:00:00.530000000,-0.781,0.789,0.641,1.28193720595,0.96972381163
54,0 days 00:00:00.540000000,-0.898,0.688,0.574,1.26855193035,0.999606623502
55,0 days 00:00:00.550000000,-0.98,0.598,0.508,1.25541546908,1.02518750806
56,0 days 00:00:00.560000000,-1.031,0.52,0.461,1.24333503128,1.04700226038
57,0 days 00:00:00.570000000,-1.07,0.488,0.473,1.26758550007,1.06906058435
58,0 days 00:00:00.580000000,-1.156,0.523,0.484,1.3579841678,1.0979529427
59,0 days 00:00:00.590000000,-1.293,0.602,0.566,1.53447352535,1.14160500096
60,0 days 00:00:00.600000000,-1.504,0.73,0.691,1.8089767826,1.20834217913
61,0 days 00:00:00.610000000,-1.738,0.883,0.766,2.09453789653,1.29696175087
62,0 days 00:00:00.620000000,-1.859,0.984,0.828,2.26046919908,1.39331249569
63,0 days 00:00:00.630000000,-1.848,0.996,0.77,2.23607244963,1.47758849108
64,0 days 00:00:00.640000000,-1.742,0.934,0.645,2.07916930528,1.5377465725
65,0 days 00:00:00.650000000,-1.527,0.805,0.578,1.82039501208,1.56601141646
66,0 days 00:00:00.660000000,-1.266,0.633,0.508,1.50383144002,1.55979341882
67,0 days 00:00:00.670000000,-1.027,0.457,0.445,1.20896774151,1.52471085108
68,0 days 00:00:00.680000000,-0.84,0.328,0.391,0.982886056468,1.47052837162
69,0 days 00:00:00.690000000,-0.734,0.238,0.344,0.844828976776,1.40795843214
70,0 days 00:00:00.700000000,-0.801,0.23,0.289,0.882055553806,1.3553681443
71,0 days 00:00:00.710000000,-1.004,0.316,0.238,1.07912742528,1.3277440724
72,0 days 00:00:00.720000000,-1.27,0.438,0.277,1.37166796274,1.33213646144
73,0 days 00:00:00.730000000,-1.523,0.516,0.371,1.6502805822,1.36395087351
74,0 days 00:00:00.740000000,-1.672,0.508,0.434,1.80055658062,1.40761144422
75,0 days 00:00:00.750000000,-1.633,0.445,0.453,1.75211957355,1.44206225716
76,0 days 00:00:00.760000000,-1.422,0.344,0.395,1.51540258677,1.44939629012
77,0 days 00:00:00.770000000,-1.172,0.262,0.246,1.22586459285,1.42704312039
78,0 days 00:00:00.780000000,-0.945,0.223,0.117,0.97797903863,1.38213671221
79,0 days 00:00:00.790000000,-0.789,0.219,0.074,0.822166649774,1.32613970597
80,0 days 00:00:00.800000000,-0.719,0.203,0.07,0.750379903782,1.26856372575
81,0 days 00:00:00.810000000,-0.734,0.195,0.074,0.763057664924,1.21801311967
82,0 days 00:00:00.820000000,-0.824,0.191,0.094,0.851054052337,1.18131721294
83,0 days 00:00:00.830000000,-0.914,0.176,0.141,0.941410112544,1.1573265029
84,0 days 00:00:00.840000000,-1.004,0.16,0.16,1.02918219961,1.14451207257
85,0 days 00:00:00.850000000,-1.063,0.156,0.184,1.09002798129,1.13906366344
86,0 days 00:00:00.860000000,-1.07,0.18,0.266,1.11716426724,1.13687372382
87,0 days 00:00:00.870000000,-1.078,0.176,0.32,1.13818276213,1.13700462765
88,0 days 00:00:00.880000000,-1.117,0.152,0.242,1.15297744991,1.13860190988
89,0 days 00:00:00.890000000,-1.145,0.152,0.117,1.16095564084,1.14083728297
90,0 days 00:00:00.900000000,-1.117,0.141,0.0,1.12586411258,1.13933996593
91,0 days 00:00:00.910000000,-1.043,0.168,-0.039,1.05716318513,1.13112228785
92,0 days 00:00:00.920000000,-1.02,0.285,-0.012,1.05913596861,1.12392365593
93,0 days 00:00:00.930000000,-1.078,0.48,0.031,1.18044271356,1.12957556169
94,0 days 00:00:00.940000000,-1.172,0.645,0.105,1.34187704355,1.15080570988
95,0 days 00:00:00.950000000,-1.219,0.676,0.195,1.40746651825,1.17647179072
96,0 days 00:00:00.960000000,-1.211,0.594,0.25,1.37180793116,1.19600540476
97,0 days 00:00:00.970000000,-1.141,0.445,0.262,1.25241766196,1.20164663048
98,0 days 00:00:00.980000000,-1.012,0.313,0.246,1.08748747119,1.19023071455
99,0 days 00:00:00.990000000,-0.863,0.227,0.234,0.922525880396,1.16346023114
100,0 days 00:00:01.000000000,-0.738,0.18,0.211,0.788393937064,1.12595360173
101,0 days 00:00:01.010000000,-0.652,0.172,0.188,0.70002285677,1.08336052723
102,0 days 00:00:01.020000000,-0.617,0.211,0.172,0.674384163515,1.04246289086
103,0 days 00:00:01.030000000,-0.602,0.273,0.156,0.67916787321,1.0061333891
104,0 days 00:00:01.040000000,-0.598,0.355,0.137,0.708800395034,0.97640008969
105,0 days 00:00:01.050000000,-0.598,0.43,0.098,0.743039702842,0.953064051005
