Timestamp,Axis1,Axis2,Axis3
0.5,0.426,1.102,-0.613
0.6,-0.586,0.129,0.992
0.7,-0.875,0.121,1.137
0.8,-0.879,0.25,0.344
0.9,-0.902,0.305,-0.008
1,-0.922,0.32,-0.141
1.1,-0.93,0.328,-0.188
1.2,-0.934,0.332,-0.203
1.3,-0.93,0.332,-0.211
1.4,-0.93,0.336,-0.211
1.5,-0.934,0.336,-0.211
1.6,-0.938,0.336,-0.219
1.7,-0.941,0.34,-0.215
1.8,-0.938,0.34,-0.215
1.9,-0.938,0.34,-0.211
2,-0.934,0.34,-0.207
2.1,-0.934,0.336,-0.211
2.2,-0.934,0.336,-0.211
2.3,-0.938,0.336,-0.215
2.4,-0.938,0.34,-0.219
2.5,-0.934,0.336,-0.215
2.6,-0.934,0.34,-0.211
2.7,-0.934,0.336,-0.211
2.8,-0.934,0.34,-0.207
2.9,-0.934,0.344,-0.211
3,-0.938,0.344,-0.211
3.1,-0.938,0.336,-0.211
3.2,-0.938,0.34,-0.211
3.3,-0.938,0.34,-0.211
3.4,-0.934,0.336,-0.211
3.5,-0.934,0.34,-0.211
3.6,-0.938,0.344,-0.207
3.7,-0.941,0.344,-0.207
3.8,-0.938,0.344,-0.207
3.9,-0.938,0.344,-0.207
4,-0.938,0.34,-0.207
4.1,-0.938,0.34,-0.203
4.2,-0.938,0.34,-0.207
4.3,-0.934,0.336,-0.207
4.4,-0.934,0.336,-0.207
4.5,-0.938,0.34,-0.207
4.6,-0.938,0.34,-0.207
4.7,-0.938,0.34,-0.207
4.8,-0.938,0.344,-0.207
4.9,-0.93,0.34,-0.207
5,-0.938,0.344,-0.207
5.1,-0.934,0.344,-0.207
5.2,-0.934,0.344,-0.211
5.3,-0.934,0.344,-0.211
5.4,-0.938,0.344,-0.215
5.5,-0.938,0.34,-0.207
5.6,-0.926,0.336,-0.203
5.7,-0.93,0.336,-0.199
5.8,-0.934,0.336,-0.203
5.9,-0.938,0.336,-0.203
6,-0.938,0.336,-0.203
6.1,-0.934,0.336,-0.211
6.2,-0.938,0.336,-0.207
6.3,-0.934,0.332,-0.211
6.4,-0.93,0.332,-0.211
6.5,-0.934,0.336,-0.211
6.6,-0.934,0.336,-0.219
6.7,-0.938,0.34,-0.211
6.8,-0.938,0.34,-0.207
6.9,-0.941,0.34,-0.207
7,-0.938,0.34,-0.207
7.1,-0.941,0.344,-0.207
7.2,-0.934,0.344,-0.207
7.3,-0.934,0.344,-0.211
7.4,-0.93,0.344,-0.207
7.5,-0.93,0.344,-0.207
7.6,-0.93,0.348,-0.207
7.7,-0.93,0.348,-0.203
7.8,-0.934,0.344,-0.207
7.9,-0.938,0.34,-0.211
8,-0.938,0.34,-0.211
8.1,-0.934,0.34,-0.207
8.2,-0.93,0.34,-0.203
8.3,-0.934,0.34,-0.207
8.4,-0.934,0.34,-0.203
8.5,-0.934,0.34,-0.203
8.6,-0.934,0.336,-0.203
8.7,-0.934,0.332,-0.211
8.8,-0.938,0.336,-0.207
8.9,-0.938,0.336,-0.203
9,-0.938,0.34,-0.203
9.1,-0.938,0.336,-0.207
9.2,-0.938,0.34,-0.207
9.3,-0.938,0.336,-0.203
9.4,-0.938,0.332,-0.211
9.5,-0.941,0.336,-0.211
9.6,-0.941,0.336,-0.211
9.7,-0.941,0.34,-0.211
9.8,-0.934,0.34,-0.207
9.9,-0.934,0.336,-0.207
10,-0.938,0.34,-0.207
10.1,-0.934,0.34,-0.207
10.2,-0.938,0.34,-0.207
10.3,-0.938,0.34,-0.207
10.4,-0.934,0.34,-0.207
10.5,-0.934,0.34,-0.207
10.6,-0.93,0.336,-0.207
10.7,-0.934,0.336,-0.199
10.8,-0.938,0.34,-0.207
10.9,-0.938,0.336,-0.207
11,-0.93,0.336,-0.207
11.1,-0.938,0.336,-0.207
11.2,-0.938,0.336,-0.207
11.3,-0.938,0.336,-0.207
11.4,-0.938,0.336,-0.203
11.5,-0.938,0.34,-0.203
11.6,-0.938,0.34,-0.207
11.7,-0.938,0.34,-0.211
11.8,-0.938,0.34,-0.215
11.9,-0.938,0.34,-0.211
12,-0.934,0.34,-0.211
12.1,-0.934,0.34,-0.207
12.2,-0.934,0.34,-0.207
12.3,-0.926,0.344,-0.207
12.4,-0.926,0.34,-0.207
12.5,-0.926,0.336,-0.207
12.6,-0.934,0.34,-0.211
12.7,-0.938,0.34,-0.211
12.8,-0.938,0.344,-0.211
12.9,-0.938,0.344,-0.207
13,-0.941,0.344,-0.203
13.1,-0.938,0.34,-0.203
13.2,-0.934,0.34,-0.207
13.3,-0.93,0.34,-0.211
13.4,-0.93,0.344,-0.207
13.5,-0.934,0.344,-0.203
13.6,-0.938,0.34,-0.211
13.7,-0.938,0.344,-0.211
13.8,-0.941,0.34,-0.207
13.9,-0.938,0.34,-0.207
14,-0.941,0.34,-0.207
14.1,-0.938,0.344,-0.207
14.2,-0.934,0.34,-0.207
14.3,-0.938,0.344,-0.207
14.4,-0.934,0.344,-0.207
14.5,-0.938,0.344,-0.207
14.6,-0.938,0.344,-0.211
14.7,-0.934,0.344,-0.211
14.8,-0.938,0.344,-0.211
14.9,-0.938,0.344,-0.203
15,-0.93,0.34,-0.207
15.1,-0.93,0.34,-0.203
15.2,-0.93,0.344,-0.207
15.3,-0.926,0.344,-0.207
15.4,-0.93,0.34,-0.207
15.5,-0.934,0.34,-0.207
15.6,-0.934,0.344,-0.207
15.7,-0.938,0.344,-0.207
15.8,-0.934,0.34,-0.207
15.9,-0.934,0.34,-0.203
16,-0.934,0.344,-0.207
16.1,-0.938,0.34,-0.207
16.2,-0.934,0.344,-0.211
16.3,-0.93,0.344,-0.215
16.4,-0.934,0.344,-0.215
16.5,-0.93,0.34,-0.215
16.6,-0.934,0.34,-0.211
16.7,-0.934,0.344,-0.207
16.8,-0.938,0.344,-0.207
16.9,-0.938,0.336,-0.207
17,-0.938,0.336,-0.203
17.1,-0.934,0.336,-0.207
17.2,-0.93,0.336,-0.207
17.3,-0.934,0.34,-0.207
17.4,-0.934,0.34,-0.211
17.5,-0.938,0.336,-0.211
17.6,-0.938,0.336,-0.211
17.7,-0.938,0.336,-0.203
17.8,-0.938,0.336,-0.207
17.9,-0.938,0.336,-0.207
18,-0.934,0.34,-0.207
18.1,-0.934,0.34,-0.207
18.2,-0.934,0.34,-0.207
18.3,-0.93,0.336,-0.211
18.4,-0.93,0.336,-0.215
18.5,-0.93,0.34,-0.211
18.6,-0.934,0.336,-0.211
18.7,-0.938,0.336,-0.211
18.8,-0.938,0.336,-0.207
18.9,-0.938,0.34,-0.203
19,-0.938,0.34,-0.207
19.1,-0.938,0.34,-0.211
19.2,-0.938,0.344,-0.211
19.3,-0.934,0.34,-0.207
19.4,-0.938,0.336,-0.211
19.5,-0.938,0.34,-0.211
19.6,-0.938,0.34,-0.211
19.7,-0.941,0.34,-0.207
19.8,-0.934,0.34,-0.207
19.9,-0.934,0.34,-0.207
20,-0.93,0.344,-0.207
20.1,-0.926,0.34,-0.207
20.2,-0.93,0.34,-0.207
20.3,-0.926,0.34,-0.211
20.4,-0.934,0.34,-0.207
20.5,-0.938,0.34,-0.207
20.6,-0.93,0.336,-0.207
20.7,-0.938,0.332,-0.199
20.8,-0.938,0.336,-0.203
20.9,-0.938,0.34,-0.207
21,-0.938,0.336,-0.207
21.1,-0.938,0.332,-0.203
21.2,-0.934,0.336,-0.207
21.3,-0.926,0.332,-0.207
21.4,-0.926,0.324,-0.207
21.5,-0.93,0.328,-0.199
21.6,-0.938,0.332,-0.199
21.7,-0.941,0.332,-0.199
21.8,-0.941,0.336,-0.199
21.9,-0.945,0.336,-0.199
22,-0.941,0.344,-0.199
22.1,-0.941,0.348,-0.195
22.2,-0.938,0.348,-0.195
22.3,-0.938,0.34,-0.199
22.4,-0.938,0.344,-0.203
22.5,-0.93,0.344,-0.203
22.6,-0.934,0.344,-0.203
22.7,-0.93,0.34,-0.203
22.8,-0.93,0.336,-0.203
22.9,-0.93,0.336,-0.199
23,-0.934,0.34,-0.199
23.1,-0.934,0.34,-0.203
23.2,-0.93,0.344,-0.199
23.3,-0.934,0.344,-0.203
23.4,-0.934,0.348,-0.203
23.5,-0.938,0.348,-0.203
23.6,-0.941,0.352,-0.203
23.7,-0.941,0.348,-0.203
23.8,-0.941,0.359,-0.203
23.9,-0.938,0.363,-0.203
24,-0.93,0.359,-0.207
24.1,-0.926,0.367,-0.207
24.2,-0.926,0.367,-0.207
24.3,-0.926,0.363,-0.203
24.4,-0.926,0.359,-0.207
24.5,-0.93,0.355,-0.207
24.6,-0.934,0.348,-0.207
24.7,-0.938,0.336,-0.207
24.8,-0.941,0.332,-0.207
24.9,-0.938,0.328,-0.211
25,-0.938,0.324,-0.211
25.1,-0.938,0.32,-0.211
25.2,-0.941,0.316,-0.211
25.3,-0.941,0.316,-0.211
25.4,-0.941,0.313,-0.207
25.5,-0.945,0.313,-0.215
25.6,-0.941,0.316,-0.211
25.7,-0.941,0.316,-0.211
25.8,-0.938,0.316,-0.207
25.9,-0.934,0.324,-0.203
26,-0.93,0.336,-0.207
26.1,-0.934,0.34,-0.207
26.2,-0.934,0.344,-0.211
26.3,-0.934,0.348,-0.207
26.4,-0.934,0.348,-0.203
26.5,-0.934,0.348,-0.207
26.6,-0.934,0.352,-0.207
26.7,-0.93,0.352,-0.203
26.8,-0.926,0.359,-0.199
26.9,-0.93,0.363,-0.199
27,-0.93,0.363,-0.195
27.1,-0.93,0.359,-0.195
27.2,-0.926,0.359,-0.195
27.3,-0.922,0.359,-0.195
27.4,-0.926,0.359,-0.203
27.5,-0.93,0.355,-0.203
27.6,-0.938,0.352,-0.207
27.7,-0.938,0.348,-0.215
27.8,-0.941,0.344,-0.211
27.9,-0.945,0.348,-0.211
28,-0.941,0.34,-0.203
28.1,-0.941,0.336,-0.203
28.2,-0.938,0.332,-0.207
28.3,-0.93,0.32,-0.207
28.4,-0.926,0.316,-0.211
28.5,-0.93,0.324,-0.207
28.6,-0.93,0.324,-0.203
28.7,-0.926,0.332,-0.207
28.8,-0.934,0.332,-0.207
28.9,-0.938,0.328,-0.207
29,-0.938,0.332,-0.211
29.1,-0.934,0.336,-0.211
29.2,-0.934,0.34,-0.207
29.3,-0.934,0.344,-0.207
29.4,-0.93,0.348,-0.203
29.5,-0.93,0.344,-0.203
29.6,-0.93,0.348,-0.207
29.7,-0.93,0.348,-0.207
29.8,-0.934,0.352,-0.207
29.9,-0.934,0.355,-0.207
30,-0.934,0.355,-0.207
30.1,-0.934,0.359,-0.207
30.2,-0.93,0.363,-0.207
30.3,-0.938,0.371,-0.207
30.4,-0.934,0.371,-0.207
30.5,-0.934,0.371,-0.207
30.6,-0.93,0.367,-0.207
30.7,-0.938,0.359,-0.207
30.8,-0.938,0.352,-0.211
30.9,-0.938,0.348,-0.215
31,-0.93,0.34,-0.211
31.1,-0.926,0.336,-0.219
31.2,-0.93,0.324,-0.223
31.3,-0.926,0.32,-0.215
31.4,-0.934,0.316,-0.215
31.5,-0.934,0.316,-0.211
31.6,-0.934,0.324,-0.215
31.7,-0.938,0.328,-0.215
31.8,-0.938,0.336,-0.215
31.9,-0.941,0.336,-0.215
32,-0.941,0.34,-0.215
32.1,-0.945,0.34,-0.207
32.2,-0.941,0.336,-0.207
32.3,-0.938,0.332,-0.207
32.4,-0.934,0.328,-0.207
32.5,-0.93,0.332,-0.207
32.6,-0.93,0.336,-0.207
32.7,-0.93,0.336,-0.207
32.8,-0.93,0.34,-0.211
32.9,-0.926,0.34,-0.215
33,-0.926,0.344,-0.211
33.1,-0.926,0.344,-0.211
33.2,-0.934,0.348,-0.211
33.3,-0.934,0.352,-0.207
33.4,-0.938,0.355,-0.211
33.5,-0.938,0.352,-0.211
33.6,-0.938,0.352,-0.207
33.7,-0.938,0.352,-0.211
33.8,-0.934,0.348,-0.207
33.9,-0.938,0.344,-0.207
34,-0.934,0.344,-0.207
34.1,-0.934,0.344,-0.211
34.2,-0.934,0.344,-0.203
34.3,-0.93,0.344,-0.207
34.4,-0.934,0.34,-0.207
34.5,-0.934,0.344,-0.211
34.6,-0.938,0.344,-0.215
34.7,-0.934,0.344,-0.207
34.8,-0.938,0.344,-0.199
34.9,-0.938,0.34,-0.203
35,-0.938,0.344,-0.207
35.1,-0.938,0.344,-0.207
35.2,-0.934,0.344,-0.207
35.3,-0.934,0.34,-0.207
35.4,-0.938,0.34,-0.211
35.5,-0.938,0.336,-0.207
35.6,-0.93,0.34,-0.211
35.7,-0.93,0.34,-0.203
35.8,-0.93,0.344,-0.207
35.9,-0.93,0.344,-0.211
36,-0.93,0.344,-0.211
36.1,-0.934,0.348,-0.207
36.2,-0.934,0.348,-0.207
36.3,-0.938,0.344,-0.211
36.4,-0.938,0.344,-0.211
36.5,-0.934,0.344,-0.207
36.6,-0.938,0.344,-0.207
36.7,-0.934,0.348,-0.211
36.8,-0.934,0.348,-0.207
36.9,-0.934,0.352,-0.203
37,-0.934,0.352,-0.215
37.1,-0.93,0.348,-0.211
37.2,-0.93,0.348,-0.219
37.3,-0.93,0.344,-0.215
37.4,-0.93,0.344,-0.211
37.5,-0.938,0.344,-0.211
37.6,-0.938,0.344,-0.207
37.7,-0.938,0.34,-0.207
37.8,-0.938,0.344,-0.211
37.9,-0.934,0.344,-0.211
38,-0.934,0.344,-0.211
38.1,-0.938,0.344,-0.207
38.2,-0.938,0.344,-0.207
38.3,-0.938,0.344,-0.211
38.4,-0.938,0.348,-0.207
38.5,-0.938,0.344,-0.211
38.6,-0.938,0.348,-0.211
38.7,-0.938,0.348,-0.211
38.8,-0.934,0.344,-0.211
38.9,-0.934,0.344,-0.211
39,-0.93,0.344,-0.215
39.1,-0.93,0.344,-0.215
39.2,-0.93,0.344,-0.211
39.3,-0.934,0.344,-0.211
39.4,-0.934,0.344,-0.207
39.5,-0.934,0.344,-0.211
39.6,-0.934,0.344,-0.211
39.7,-0.938,0.348,-0.207
39.8,-0.938,0.348,-0.203
39.9,-0.93,0.348,-0.207
40,-0.934,0.344,-0.211
40.1,-0.938,0.344,-0.211
40.2,-0.934,0.344,-0.207
40.3,-0.938,0.344,-0.211
40.4,-0.934,0.344,-0.211
40.5,-0.934,0.344,-0.211
40.6,-0.934,0.344,-0.207
40.7,-0.934,0.344,-0.207
40.8,-0.938,0.34,-0.211
40.9,-0.934,0.34,-0.215
41,-0.934,0.34,-0.211
41.1,-0.926,0.34,-0.211
41.2,-0.926,0.344,-0.211
41.3,-0.934,0.34,-0.207
41.4,-0.93,0.34,-0.207
41.5,-0.93,0.34,-0.211
41.6,-0.93,0.34,-0.211
41.7,-0.93,0.34,-0.211
41.8,-0.934,0.344,-0.207
41.9,-0.934,0.34,-0.207
42,-0.938,0.344,-0.207
42.1,-0.938,0.344,-0.207
42.2,-0.938,0.344,-0.211
42.3,-0.938,0.344,-0.211
42.4,-0.934,0.34,-0.207
42.5,-0.93,0.34,-0.207
42.6,-0.93,0.34,-0.207
42.7,-0.938,0.344,-0.203
42.8,-0.934,0.344,-0.207
42.9,-0.934,0.344,-0.207
43,-0.934,0.344,-0.207
43.1,-0.938,0.344,-0.207
43.2,-0.934,0.344,-0.211
43.3,-0.934,0.344,-0.207
43.4,-0.93,0.344,-0.207
43.5,-0.934,0.344,-0.207
43.6,-0.938,0.348,-0.211
43.7,-0.934,0.34,-0.203
43.8,-0.938,0.348,-0.203
43.9,-0.938,0.348,-0.207
44,-0.938,0.344,-0.207
44.1,-0.938,0.344,-0.211
44.2,-0.938,0.344,-0.203
44.3,-0.934,0.344,-0.207
44.4,-0.93,0.344,-0.207
44.5,-0.93,0.344,-0.203
44.6,-0.93,0.344,-0.203
44.7,-0.934,0.344,-0.207
44.8,-0.934,0.344,-0.207
44.9,-0.934,0.344,-0.207
45,-0.938,0.348,-0.211
45.1,-0.941,0.344,-0.211
45.2,-0.941,0.344,-0.211
45.3,-0.934,0.34,-0.211
45.4,-0.934,0.34,-0.211
45.5,-0.934,0.34,-0.207
45.6,-0.922,0.344,-0.207
45.7,-0.93,0.344,-0.207
45.8,-0.934,0.344,-0.211
45.9,-0.934,0.344,-0.211
46,-0.938,0.344,-0.211
46.1,-0.938,0.348,-0.211
46.2,-0.934,0.344,-0.215
46.3,-0.934,0.348,-0.211
46.4,-0.934,0.344,-0.207
46.5,-0.934,0.344,-0.211
46.6,-0.934,0.348,-0.211
46.7,-0.934,0.344,-0.211
46.8,-0.938,0.344,-0.207
46.9,-0.934,0.344,-0.203
47,-0.934,0.344,-0.207
47.1,-0.934,0.344,-0.207
47.2,-0.938,0.344,-0.207
47.3,-0.93,0.344,-0.207
47.4,-0.934,0.344,-0.207
47.5,-0.93,0.344,-0.207
47.6,-0.934,0.344,-0.207
47.7,-0.934,0.34,-0.207
47.8,-0.938,0.34,-0.207
47.9,-0.93,0.34,-0.207
48,-0.934,0.344,-0.211
48.1,-0.938,0.34,-0.207
48.2,-0.934,0.34,-0.207
48.3,-0.934,0.34,-0.207
48.4,-0.934,0.344,-0.215
48.5,-0.938,0.344,-0.207
48.6,-0.938,0.348,-0.207
48.7,-0.934,0.344,-0.207
48.8,-0.93,0.348,-0.207
48.9,-0.93,0.344,-0.203
49,-0.93,0.344,-0.207
49.1,-0.93,0.344,-0.207
49.2,-0.934,0.344,-0.207
49.3,-0.934,0.34,-0.207
49.4,-0.938,0.34,-0.207
49.5,-0.934,0.344,-0.207
49.6,-0.934,0.344,-0.207
49.7,-0.93,0.348,-0.207
49.8,-0.93,0.348,-0.203
49.9,-0.926,0.344,-0.207
50,-0.934,0.344,-0.207
50.1,-0.93,0.344,-0.207
50.2,-0.93,0.344,-0.211
50.3,-0.934,0.348,-0.207
50.4,-0.938,0.352,-0.207
50.5,-0.938,0.352,-0.207
50.6,-0.93,0.352,-0.203
50.7,-0.93,0.352,-0.203
50.8,-0.934,0.348,-0.207
50.9,-0.93,0.344,-0.203
51,-0.93,0.344,-0.207
51.1,-0.93,0.344,-0.207
51.2,-0.93,0.344,-0.211
51.3,-0.93,0.344,-0.207
51.4,-0.93,0.344,-0.207
51.5,-0.93,0.344,-0.207
51.6,-0.93,0.34,-0.211
51.7,-0.93,0.34,-0.211
51.8,-0.934,0.34,-0.211
51.9,-0.934,0.34,-0.203
52,-0.938,0.344,-0.207
52.1,-0.938,0.344,-0.207
52.2,-0.938,0.344,-0.211
52.3,-0.938,0.348,-0.207
52.4,-0.938,0.344,-0.211
52.5,-0.934,0.348,-0.211
52.6,-0.934,0.344,-0.207
52.7,-0.93,0.344,-0.207
52.8,-0.934,0.348,-0.207
52.9,-0.93,0.344,-0.207
53,-0.934,0.344,-0.211
53.1,-0.938,0.344,-0.211
53.2,-0.938,0.348,-0.211
53.3,-0.938,0.348,-0.207
53.4,-0.934,0.344,-0.207
53.5,-0.934,0.344,-0.211
53.6,-0.934,0.34,-0.207
53.7,-0.93,0.344,-0.207
53.8,-0.934,0.34,-0.207
53.9,-0.934,0.344,-0.211
54,-0.93,0.344,-0.207
54.1,-0.93,0.344,-0.203
54.2,-0.93,0.344,-0.203
54.3,-0.93,0.344,-0.203
54.4,-0.934,0.344,-0.207
54.5,-0.934,0.344,-0.211
54.6,-0.938,0.344,-0.211
54.7,-0.938,0.348,-0.211
54.8,-0.938,0.344,-0.211
54.9,-0.938,0.344,-0.211
55,-0.938,0.344,-0.211
55.1,-0.934,0.348,-0.207
55.2,-0.934,0.348,-0.207
55.3,-0.93,0.344,-0.207
55.4,-0.93,0.344,-0.207
55.5,-0.93,0.344,-0.207
55.6,-0.922,0.344,-0.207
55.7,-0.926,0.344,-0.207
55.8,-0.93,0.344,-0.211
55.9,-0.934,0.344,-0.211
56,-0.938,0.344,-0.207
56.1,-0.938,0.344,-0.211
56.2,-0.934,0.344,-0.215
56.3,-0.934,0.344,-0.211
56.4,-0.934,0.344,-0.211
56.5,-0.934,0.344,-0.211
56.6,-0.938,0.344,-0.207
56.7,-0.938,0.344,-0.203
56.8,-0.934,0.336,-0.211
56.9,-0.934,0.336,-0.203
57,-0.934,0.336,-0.203
57.1,-0.938,0.34,-0.207
57.2,-0.938,0.34,-0.207
57.3,-0.941,0.34,-0.203
57.4,-0.934,0.34,-0.203
57.5,-0.934,0.344,-0.203
57.6,-0.93,0.344,-0.203
57.7,-0.93,0.344,-0.203
57.8,-0.93,0.344,-0.203
57.9,-0.93,0.344,-0.203
58,-0.934,0.344,-0.207
58.1,-0.93,0.352,-0.207
58.2,-0.93,0.352,-0.207
58.3,-0.93,0.352,-0.207
58.4,-0.934,0.355,-0.207
58.5,-0.934,0.352,-0.207
58.6,-0.93,0.352,-0.207
58.7,-0.934,0.348,-0.207
58.8,-0.934,0.348,-0.211
58.9,-0.93,0.348,-0.211
59,-0.93,0.348,-0.207
59.1,-0.93,0.344,-0.203
59.2,-0.934,0.344,-0.203
59.3,-0.93,0.344,-0.203
59.4,-0.926,0.34,-0.203
