Timestamp,Axis1,Axis2,Axis3,,
2000.1,0.441,2.469,3.117,,START
2000.2,0.043,1.176,2.664,,
2000.3,-0.66,0.402,1.469,,
2000.4,-1.418,-0.648,0.398,,
2000.5,-0.496,-0.445,-0.98,,
2000.6,-0.117,-0.938,-0.492,,
2000.7,-0.195,-0.551,0.598,,
2000.8,0.043,0.133,1.184,,
2000.9,0.195,0.469,1.219,,
2001,0.215,0.633,1.184,,
2001.1,0.262,0.668,1.137,,
2001.2,0.141,0.938,1.172,,
2001.3,0.102,0.973,0.988,,
2001.4,0.039,1.012,0.781,,
2001.5,-0.094,1.047,0.617,,
2001.6,-0.094,0.605,0.531,,
2001.7,0.004,-0.164,0.285,,
2001.8,0.402,-0.293,1.113,,
2001.9,0.379,0.391,1.203,,
2002,0.207,0.82,0.727,,
2002.1,-0.043,0.648,0.254,,
2002.2,-0.391,0.41,0.023,,
2002.3,-0.387,-0.129,-0.336,,
2002.4,-0.297,-0.469,0.066,,
2002.5,-0.609,0.129,1.969,,
2002.6,-0.652,0.527,2.848,,
2002.7,-0.547,0.559,2.102,,
2002.8,-0.543,0.348,1.141,,
2002.9,-0.703,0.355,0.641,,
2003,-0.801,0.078,0.098,,
2003.1,-0.422,-0.57,0.012,,
2003.2,-0.43,-0.43,0.121,,
2003.3,-0.605,-0.105,0.496,,
2003.4,-0.453,0.324,0.945,,
2003.5,-0.426,0.699,1.316,,
2003.6,-0.754,0.707,1.453,,
2003.7,-1.141,0.371,0.984,,
2003.8,-1.188,-0.051,0.219,,
2003.9,-1.137,0.012,0.055,,
2004,-0.988,0.105,0.09,,
2004.1,-0.684,-0.094,-0.121,,
2004.2,-0.355,-0.199,-0.242,,
2004.3,-0.207,-0.02,0.086,,
2004.4,-0.098,0.043,0.723,,
2004.5,-0.051,-0.023,1.355,,
2004.6,-0.188,0.121,1.648,,
2004.7,-0.41,0.145,1.297,,
2004.8,-0.641,-0.008,0.793,,
2004.9,-0.805,-0.066,0.426,,
2005,-0.883,0.074,0.262,,
2005.1,-0.883,0.273,0.285,,
2005.2,-0.773,0.344,0.383,,
2005.3,-0.754,0.098,0.879,,
2005.4,-0.875,-0.281,0.926,,
2005.5,-1.063,-0.605,0.73,,
2005.6,-1.398,-0.621,1.219,,
2005.7,-1.363,-0.797,1.441,,
2005.8,-1.188,-1.227,1.379,,
2005.9,-1.07,-0.723,1.387,,
2006,-0.531,0.152,1.555,,
2006.1,0.367,0.113,1.121,,
2006.2,0.844,-0.016,0.734,,
2006.3,0.59,0.406,0.422,,
2006.4,-0.246,0.477,0.105,,
2006.5,-1.254,0.289,0.035,,
2006.6,-1.707,0.207,0.148,,
2006.7,-1.492,0.266,0.375,,
2006.8,-1.117,0.129,0.902,,
2006.9,-0.855,0.027,1.016,,
2007,-0.859,-0.063,0.676,,
2007.1,-1.109,0.094,0.141,,
