------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.2 Firmware v1.5.0 date format M/d/yyyy at 100 Hz  Filter Normal -----------,,,,,
Serial Number: MOS2C10156277,,,,,
Start Time 12:33:00,,,,,
Start Date 7/9/2015,,,,,
Epoch Period (hh:mm:ss) 00:00:00,,,,,
Download Time 12:47:58,,,,,
Download Date 7/9/2015,,,,,
Current Memory Address: 0,,,,,
Current Battery Voltage: 4.19     Mode = 12,,,,,
--------------------------------------------------,,,,,
Timestamp,Axis1,Axis2,Axis3,,
1703.8,-0.059,-0.031,-1.031,,
1703.9,-0.027,-0.02,-1.008,,
1704,0.027,-0.031,-1.008,,
1704.1,0.102,-0.035,-1.051,,
1704.2,0.129,0.012,-1.07,,
1704.3,0.172,-0.039,-1.07,,START 
1704.4,0.152,0.016,-0.965,,
1704.5,0.031,-0.055,-0.926,,
1704.6,-0.156,-0.051,-0.762,,
1704.7,-0.262,0.059,-0.633,,
1704.8,-0.285,0.203,-0.426,,
1704.9,-0.188,0.348,0.082,,
1705,0.012,0.617,0.645,,
1705.1,0.262,0.945,1.105,,
1705.2,0.32,1.211,1.047,,
1705.3,0.117,1.469,0.711,,
1705.4,-0.172,1.621,0.73,,
1705.5,-0.391,1.707,0.652,,
1705.6,-0.625,1.688,0.527,,
1705.7,-0.918,1.637,0.598,,
1705.8,-1.254,1.719,0.254,,
1705.9,-1.391,1.656,0.258,,
1706,-1.27,1.523,0.266,,
1706.1,-1.148,1.316,0.195,,
1706.2,-1.027,1.152,0.172,,
1706.3,-0.887,1.086,0.094,,
1706.4,-0.742,1.066,0.113,,
1706.5,-0.563,1.055,0.184,,
1706.6,-0.391,1.051,0.266,,
1706.7,-0.246,1.031,0.34,,
1706.8,-0.125,0.996,0.383,,
1706.9,-0.039,0.953,0.41,,
1707,0.023,0.898,0.457,,
1707.1,0.047,0.859,0.461,,
1707.2,0.047,0.82,0.445,,
1707.3,0.039,0.789,0.422,,
1707.4,0.023,0.77,0.41,,
1707.5,0.012,0.766,0.379,,
1707.6,0.012,0.75,0.367,,
1707.7,0.023,0.746,0.359,,
1707.8,0.012,0.766,0.34,,
1707.9,-0.016,0.801,0.316,,
1708,-0.047,0.844,0.324,,
1708.1,-0.086,0.887,0.324,,
1708.2,-0.133,0.922,0.316,,
1708.3,-0.188,0.969,0.32,,
1708.4,-0.223,1.004,0.297,,
1708.5,-0.238,1.031,0.301,,
1708.6,-0.27,1.059,0.293,,
1708.7,-0.285,1.094,0.273,,
1708.8,-0.289,1.121,0.266,,
1708.9,-0.262,1.133,0.262,,
1709,-0.215,1.117,0.266,,
1709.1,-0.164,1.086,0.246,,
1709.2,-0.117,1.023,0.219,,
1709.3,-0.07,0.953,0.207,,
1709.4,-0.02,0.887,0.23,,
1709.5,0.031,0.824,0.25,,
1709.6,0.059,0.773,0.258,,
1709.7,0.063,0.738,0.254,,
1709.8,0.066,0.707,0.242,,
1709.9,0.086,0.707,0.25,,
1710,0.129,0.703,0.223,,
1710.1,0.172,0.699,0.172,,
1710.2,0.227,0.711,0.121,,
