,Timestamp,Axis1,Axis2,Axis3,SUM,FILTER
0,0 days 00:00:00.000000000,0.82,0.641,1.859,2.03181716697,2.03181716697
1,0 days 00:00:00.010000000,0.863,0.277,2.563,2.70439235319,2.09907468559
2,0 days 00:00:00.020000000,0.824,-0.402,2.75,2.87079710185,2.17624692722
3,0 days 00:00:00.030000000,0.582,-0.422,3.0,3.05593259088,2.26421549359
4,0 days 00:00:00.040000000,0.156,-0.016,2.633,2.63761729597,2.30155567382
5,0 days 00:00:00.050000000,-0.137,0.152,1.859,1.86404130856,2.2578042373
6,0 days 00:00:00.060000000,-0.301,0.215,1.203,1.24008467453,2.15603228102
7,0 days 00:00:00.070000000,-0.445,0.316,0.813,0.926819291987,2.03311098212
8,0 days 00:00:00.080000000,-0.57,0.461,0.574,0.808935102465,1.91069339415
9,0 days 00:00:00.090000000,-0.57,0.586,0.203,0.605069417505,1.78013099649
10,0 days 00:00:00.100000000,-0.387,0.566,-0.289,0.483001035196,1.65041800036
11,0 days 00:00:00.110000000,-0.055,0.547,-0.816,0.817851453505,1.56716134567
12,0 days 00:00:00.120000000,0.352,0.547,-1.117,1.17115028925,1.52756024003
13,0 days 00:00:00.130000000,0.75,0.586,-1.109,1.3387983418,1.50868405021
14,0 days 00:00:00.140000000,1.086,0.594,-0.895,1.40727431583,1.49854307677
15,0 days 00:00:00.150000000,1.344,0.492,-0.559,1.4556156773,1.49425033682
16,0 days 00:00:00.160000000,1.488,0.457,-0.297,1.51735065163,1.4965603683
17,0 days 00:00:00.170000000,1.453,0.668,-0.047,1.45375995267,1.49228032674
18,0 days 00:00:00.180000000,1.398,0.855,0.223,1.4156740444,1.48461969851
19,0 days 00:00:00.190000000,1.301,1.047,0.449,1.37630011262,1.47378773992
20,0 days 00:00:00.200000000,1.199,1.098,0.465,1.28601166402,1.45501013233
21,0 days 00:00:00.210000000,1.246,0.688,0.227,1.26650898141,1.43616001724
22,0 days 00:00:00.220000000,1.352,-0.02,-0.109,1.35638674426,1.42818268994
23,0 days 00:00:00.230000000,1.254,-0.469,0.016,1.25410206921,1.41077462787
24,0 days 00:00:00.240000000,1.023,-0.352,0.434,1.11125379639,1.38082254472
25,0 days 00:00:00.250000000,0.789,-0.047,0.793,1.11864650359,1.35460494061
26,0 days 00:00:00.260000000,0.621,0.293,1.051,1.22075468461,1.34121991501
27,0 days 00:00:00.270000000,0.559,0.441,1.203,1.32653307535,1.33975123104
28,0 days 00:00:00.280000000,0.926,0.176,0.742,1.18660861281,1.32443696922
29,0 days 00:00:00.290000000,1.426,-0.191,0.129,1.43182296392,1.33517556869
30,0 days 00:00:00.300000000,1.438,-0.418,-0.066,1.43951380681,1.3456093925
31,0 days 00:00:00.310000000,1.246,-0.605,0.375,1.30120751612,1.34116920486
32,0 days 00:00:00.320000000,1.004,-0.676,0.574,1.15649989192,1.32270227357
33,0 days 00:00:00.330000000,0.832,-0.723,0.57,1.00852565659,1.29128461187
34,0 days 00:00:00.340000000,0.742,-0.617,0.352,0.821260007549,1.24428215144
35,0 days 00:00:00.350000000,0.676,-0.609,0.066,0.679214251912,1.18777536149
36,0 days 00:00:00.360000000,0.594,-0.594,-0.172,0.618401164294,1.13083794177
37,0 days 00:00:00.370000000,0.641,-0.273,0.102,0.64906471172,1.08266061876
38,0 days 00:00:00.380000000,0.852,-0.035,0.41,0.945517847531,1.06894634164
39,0 days 00:00:00.390000000,1.121,-0.055,0.563,1.25443612831,1.08749532031
40,0 days 00:00:00.400000000,1.301,-0.027,0.602,1.43352886263,1.12209867454
41,0 days 00:00:00.410000000,1.242,0.113,0.293,1.27609286496,1.13749809358
42,0 days 00:00:00.420000000,0.895,0.266,-0.215,0.9204618406,1.11579446828
43,0 days 00:00:00.430000000,0.633,0.305,-0.355,0.725750645883,1.07679008604
44,0 days 00:00:00.440000000,0.609,0.223,-0.313,0.684726222661,1.0375836997
45,0 days 00:00:00.450000000,0.73,0.145,-0.223,0.763301382155,1.01015546795
46,0 days 00:00:00.460000000,0.887,0.145,-0.168,0.902769627314,0.999416883886
47,0 days 00:00:00.470000000,0.977,0.176,-0.105,0.982626073336,0.997737802831
48,0 days 00:00:00.480000000,1.023,0.145,-0.109,1.02879055206,1.00084307775
49,0 days 00:00:00.490000000,0.988,0.18,-0.098,0.992848427505,1.00004361273
50,0 days 00:00:00.500000000,0.98,0.152,-0.063,0.982022912156,0.998241542671
51,0 days 00:00:00.510000000,1.004,0.16,-0.098,1.00877153013,0.999294541417
52,0 days 00:00:00.520000000,1.012,0.191,-0.035,1.01260505628,1.0006255929
53,0 days 00:00:00.530000000,1.035,0.176,-0.066,1.0371022129,1.0042732549
54,0 days 00:00:00.540000000,1.012,0.203,-0.039,1.01275120341,1.00512104975
55,0 days 00:00:00.550000000,1.0,0.164,-0.043,1.00092407304,1.00470135208
56,0 days 00:00:00.560000000,0.996,0.117,-0.031,0.996482312939,1.00387944817
57,0 days 00:00:00.570000000,1.023,0.082,-0.035,1.02359855412,1.00585135876
58,0 days 00:00:00.580000000,1.004,0.152,-0.059,1.00573207168,1.00583943005
59,0 days 00:00:00.590000000,1.023,0.145,-0.094,1.02730959306,1.00798644636
60,0 days 00:00:00.600000000,0.973,0.238,-0.094,0.977530050689,1.00494080679
61,0 days 00:00:00.610000000,0.973,0.207,-0.09,0.977153519157,1.00216207803
62,0 days 00:00:00.620000000,0.957,0.188,-0.035,0.957639807026,0.997709850926
63,0 days 00:00:00.630000000,0.988,0.141,-0.086,0.991735851928,0.997112451026
64,0 days 00:00:00.640000000,1.0,0.195,-0.059,1.00173898796,0.997575104719
65,0 days 00:00:00.650000000,0.977,0.242,-0.047,0.978129848231,0.99563057907
66,0 days 00:00:00.660000000,0.973,0.168,-0.074,0.975809920015,0.993648513165
67,0 days 00:00:00.670000000,0.969,0.129,-0.051,0.970341177112,0.99131777956
68,0 days 00:00:00.680000000,0.992,0.063,-0.105,0.997541477834,0.991940149387
69,0 days 00:00:00.690000000,0.961,0.219,-0.063,0.963062822458,0.989052416694
70,0 days 00:00:00.700000000,0.945,0.227,-0.09,0.949276039938,0.985074779019
71,0 days 00:00:00.710000000,0.938,0.184,-0.129,0.946828918021,0.981250192919
72,0 days 00:00:00.720000000,0.934,0.203,-0.121,0.941805181553,0.977305691782
73,0 days 00:00:00.730000000,0.938,0.199,-0.125,0.946292238159,0.97420434642
74,0 days 00:00:00.740000000,0.93,0.203,-0.113,0.936839900944,0.970467901872
75,0 days 00:00:00.750000000,0.922,0.199,-0.098,0.927193615164,0.966140473201
76,0 days 00:00:00.760000000,0.93,0.18,-0.086,0.933967879533,0.962923213835
77,0 days 00:00:00.770000000,0.949,0.16,-0.066,0.951292278955,0.961760120347
78,0 days 00:00:00.780000000,0.969,0.156,-0.051,0.970341177112,0.962618226023
79,0 days 00:00:00.790000000,0.984,0.156,-0.051,0.985320759956,0.964888479416
80,0 days 00:00:00.800000000,1.0,0.156,-0.055,1.0015113579,0.968550767265
81,0 days 00:00:00.810000000,1.008,0.156,-0.059,1.00972521014,0.972668211553
82,0 days 00:00:00.820000000,1.012,0.145,-0.066,1.0141498903,0.976816379428
83,0 days 00:00:00.830000000,1.008,0.129,-0.07,1.01042763224,0.980177504709
84,0 days 00:00:00.840000000,0.992,0.117,-0.074,0.994756251551,0.981635379393
85,0 days 00:00:00.850000000,0.977,0.102,-0.086,0.980777752602,0.981549616714
86,0 days 00:00:00.860000000,0.969,0.102,-0.094,0.973548663396,0.980749521382
87,0 days 00:00:00.870000000,0.977,0.098,-0.102,0.982310032525,0.980905572497
88,0 days 00:00:00.880000000,0.98,0.094,-0.105,0.985608948823,0.981375910129
89,0 days 00:00:00.890000000,0.977,0.098,-0.113,0.983513090914,0.981589628208
90,0 days 00:00:00.900000000,0.969,0.098,-0.105,0.974672252606,0.980897890648
91,0 days 00:00:00.910000000,0.969,0.094,-0.102,0.974353631902,0.980243464773
92,0 days 00:00:00.920000000,0.965,0.09,-0.098,0.969963401371,0.979215458433
93,0 days 00:00:00.930000000,0.973,0.09,-0.086,0.976793222745,0.978973234864
94,0 days 00:00:00.940000000,0.977,0.09,-0.078,0.980108667445,0.979086778122
95,0 days 00:00:00.950000000,0.984,0.09,-0.07,0.986486695298,0.97982676984
96,0 days 00:00:00.960000000,0.988,0.082,-0.07,0.99047665293,0.980891758149
97,0 days 00:00:00.970000000,0.996,0.086,-0.07,0.998456809281,0.982648263262
98,0 days 00:00:00.980000000,0.996,0.082,-0.066,0.998184351711,0.984201872107
99,0 days 00:00:00.990000000,0.996,0.082,-0.066,0.998184351711,0.985600120067
100,0 days 00:00:01.000000000,0.996,0.078,-0.07,0.998456809281,0.986885788989
101,0 days 00:00:01.010000000,1.0,0.078,-0.074,1.00273426191,0.98847063628
102,0 days 00:00:01.020000000,0.992,0.078,-0.082,0.99538334324,0.989161906976
103,0 days 00:00:01.030000000,0.992,0.074,-0.09,0.996074294418,0.989853145721
104,0 days 00:00:01.040000000,0.988,0.066,-0.109,0.993994466785,0.990267277827
105,0 days 00:00:01.050000000,0.984,0.07,-0.102,0.989272459942,0.990167796039
106,0 days 00:00:01.060000000,0.992,0.074,-0.094,0.996443676281,0.990795384063
107,0 days 00:00:01.070000000,0.992,0.09,-0.074,0.994756251551,0.991191470812
108,0 days 00:00:01.080000000,0.996,0.094,-0.063,0.997990480917,0.991871371822
109,0 days 00:00:01.090000000,1.004,0.094,-0.059,1.00573207168,0.993257441808
110,0 days 00:00:01.100000000,1.016,0.094,-0.055,1.01748759206,0.995680456833
111,0 days 00:00:01.110000000,1.012,0.09,-0.059,1.01371840271,0.997484251421
112,0 days 00:00:01.120000000,1.004,0.086,-0.07,1.00643728071,0.99837955435
113,0 days 00:00:01.130000000,0.996,0.094,-0.082,0.999369801425,0.998478579057
114,0 days 00:00:01.140000000,0.984,0.105,-0.09,0.988107281625,0.997441449314
115,0 days 00:00:01.150000000,0.984,0.094,-0.102,0.989272459942,0.996624550377
116,0 days 00:00:01.160000000,0.977,0.09,-0.09,0.981136585802,0.995075753919
117,0 days 00:00:01.170000000,0.973,0.09,-0.082,0.976449179425,0.99321309647
118,0 days 00:00:01.180000000,0.98,0.09,-0.074,0.982789906338,0.992170777457
119,0 days 00:00:01.190000000,0.984,0.078,-0.078,0.987086622339,0.991662361945
120,0 days 00:00:01.200000000,0.984,0.09,-0.07,0.986486695298,0.99114479528
121,0 days 00:00:01.210000000,0.988,0.094,-0.082,0.991396994145,0.991170015167
122,0 days 00:00:01.220000000,0.984,0.102,-0.078,0.987086622339,0.990761675884
123,0 days 00:00:01.230000000,0.98,0.109,-0.086,0.983766232395,0.990062131535
124,0 days 00:00:01.240000000,0.984,0.109,-0.09,0.988107281625,0.989866646544
125,0 days 00:00:01.250000000,0.996,0.105,-0.09,1.00005799832,0.990885781721
126,0 days 00:00:01.260000000,1.004,0.102,-0.07,1.00643728071,0.99244093162
127,0 days 00:00:01.270000000,1.004,0.109,-0.059,1.00573207168,0.993770045626
128,0 days 00:00:01.280000000,1.004,0.113,-0.059,1.00573207168,0.994966248231
129,0 days 00:00:01.290000000,0.992,0.102,-0.063,0.993998490945,0.994869472502
130,0 days 00:00:01.300000000,0.977,0.102,-0.059,0.978779852674,0.993260510519
131,0 days 00:00:01.310000000,0.969,0.098,-0.063,0.971045827961,0.991039042264
132,0 days 00:00:01.320000000,0.961,0.098,-0.07,0.963546054945,0.988289743532
133,0 days 00:00:01.330000000,0.961,0.109,-0.082,0.964492094317,0.98590997861
134,0 days 00:00:01.340000000,0.973,0.109,-0.09,0.977153519157,0.985034332665
135,0 days 00:00:01.350000000,0.973,0.113,-0.09,0.977153519157,0.984246251314
136,0 days 00:00:01.360000000,0.973,0.121,-0.102,0.978331743326,0.983654800515
137,0 days 00:00:01.370000000,0.969,0.125,-0.117,0.9760379091,0.982893111374
138,0 days 00:00:01.380000000,0.965,0.121,-0.117,0.972066870128,0.981810487249
139,0 days 00:00:01.390000000,0.965,0.109,-0.113,0.971593536413,0.980788792166
140,0 days 00:00:01.400000000,0.973,0.102,-0.094,0.977530050689,0.980462918018
141,0 days 00:00:01.410000000,0.984,0.098,-0.082,0.987410755461,0.981157701762
142,0 days 00:00:01.420000000,1.0,0.078,-0.086,1.00369118757,0.983411050343
143,0 days 00:00:01.430000000,1.012,0.066,-0.074,1.01470192668,0.986540137976
144,0 days 00:00:01.440000000,1.023,0.066,-0.066,1.02512682142,0.990398806321
145,0 days 00:00:01.450000000,1.016,0.09,-0.059,1.01771164875,0.993130090564
146,0 days 00:00:01.460000000,1.012,0.086,-0.07,1.01441805978,0.995258887485
147,0 days 00:00:01.470000000,1.0,0.086,-0.078,1.00303738714,0.99603673745
148,0 days 00:00:01.480000000,0.988,0.086,-0.07,0.99047665293,0.995480728998
149,0 days 00:00:01.490000000,0.977,0.078,-0.07,0.979504466554,0.993883102754
150,0 days 00:00:01.500000000,0.977,0.082,-0.07,0.979504466554,0.992445239134
151,0 days 00:00:01.510000000,0.988,0.086,-0.066,0.990201999594,0.99222091518
152,0 days 00:00:01.520000000,0.992,0.086,-0.066,0.99419314019,0.992418137681
153,0 days 00:00:01.530000000,1.0,0.082,-0.07,1.00244700608,0.993421024521
154,0 days 00:00:01.540000000,1.0,0.086,-0.07,1.00244700608,0.994323622677
155,0 days 00:00:01.550000000,0.996,0.09,-0.07,0.998456809281,0.994736941337
