Timestamp,Axis1,Axis2,Axis3
7/9/2015 12:07:02.500,0.82,0.641,1.859
7/9/2015 12:07:02.510,0.863,0.277,2.563
7/9/2015 12:07:02.520,0.824,-0.402,2.75
7/9/2015 12:07:02.530,0.582,-0.422,3
7/9/2015 12:07:02.540,0.156,-0.016,2.633
7/9/2015 12:07:02.550,-0.137,0.152,1.859
7/9/2015 12:07:02.560,-0.301,0.215,1.203
7/9/2015 12:07:02.570,-0.445,0.316,0.813
7/9/2015 12:07:02.580,-0.57,0.461,0.574
7/9/2015 12:07:02.590,-0.57,0.586,0.203
7/9/2015 12:07:02.600,-0.387,0.566,-0.289
7/9/2015 12:07:02.610,-0.055,0.547,-0.816
7/9/2015 12:07:02.620,0.352,0.547,-1.117
7/9/2015 12:07:02.630,0.75,0.586,-1.109
7/9/2015 12:07:02.640,1.086,0.594,-0.895
7/9/2015 12:07:02.650,1.344,0.492,-0.559
7/9/2015 12:07:02.660,1.488,0.457,-0.297
7/9/2015 12:07:02.670,1.453,0.668,-0.047
7/9/2015 12:07:02.680,1.398,0.855,0.223
7/9/2015 12:07:02.690,1.301,1.047,0.449
7/9/2015 12:07:02.700,1.199,1.098,0.465
7/9/2015 12:07:02.710,1.246,0.688,0.227
7/9/2015 12:07:02.720,1.352,-0.02,-0.109
7/9/2015 12:07:02.730,1.254,-0.469,0.016
7/9/2015 12:07:02.740,1.023,-0.352,0.434
7/9/2015 12:07:02.750,0.789,-0.047,0.793
7/9/2015 12:07:02.760,0.621,0.293,1.051
7/9/2015 12:07:02.770,0.559,0.441,1.203
7/9/2015 12:07:02.780,0.926,0.176,0.742
7/9/2015 12:07:02.790,1.426,-0.191,0.129
7/9/2015 12:07:02.800,1.438,-0.418,-0.066
7/9/2015 12:07:02.810,1.246,-0.605,0.375
7/9/2015 12:07:02.820,1.004,-0.676,0.574
7/9/2015 12:07:02.830,0.832,-0.723,0.57
7/9/2015 12:07:02.840,0.742,-0.617,0.352
7/9/2015 12:07:02.850,0.676,-0.609,0.066
7/9/2015 12:07:02.860,0.594,-0.594,-0.172
7/9/2015 12:07:02.870,0.641,-0.273,0.102
7/9/2015 12:07:02.880,0.852,-0.035,0.41
7/9/2015 12:07:02.890,1.121,-0.055,0.563
7/9/2015 12:07:02.900,1.301,-0.027,0.602
7/9/2015 12:07:02.910,1.242,0.113,0.293
7/9/2015 12:07:02.920,0.895,0.266,-0.215
7/9/2015 12:07:02.930,0.633,0.305,-0.355
7/9/2015 12:07:02.940,0.609,0.223,-0.313
7/9/2015 12:07:02.950,0.73,0.145,-0.223
7/9/2015 12:07:02.960,0.887,0.145,-0.168
7/9/2015 12:07:02.970,0.977,0.176,-0.105
7/9/2015 12:07:02.980,1.023,0.145,-0.109
7/9/2015 12:07:02.990,0.988,0.18,-0.098
7/9/2015 12:07:03.000,0.98,0.152,-0.063
7/9/2015 12:07:03.010,1.004,0.16,-0.098
7/9/2015 12:07:03.020,1.012,0.191,-0.035
7/9/2015 12:07:03.030,1.035,0.176,-0.066
7/9/2015 12:07:03.040,1.012,0.203,-0.039
7/9/2015 12:07:03.050,1,0.164,-0.043
7/9/2015 12:07:03.060,0.996,0.117,-0.031
7/9/2015 12:07:03.070,1.023,0.082,-0.035
7/9/2015 12:07:03.080,1.004,0.152,-0.059
7/9/2015 12:07:03.090,1.023,0.145,-0.094
7/9/2015 12:07:03.100,0.973,0.238,-0.094
7/9/2015 12:07:03.110,0.973,0.207,-0.09
7/9/2015 12:07:03.120,0.957,0.188,-0.035
7/9/2015 12:07:03.130,0.988,0.141,-0.086
7/9/2015 12:07:03.140,1,0.195,-0.059
7/9/2015 12:07:03.150,0.977,0.242,-0.047
7/9/2015 12:07:03.160,0.973,0.168,-0.074
7/9/2015 12:07:03.170,0.969,0.129,-0.051
7/9/2015 12:07:03.180,0.992,0.063,-0.105
7/9/2015 12:07:03.190,0.961,0.219,-0.063
7/9/2015 12:07:03.200,0.945,0.227,-0.09
7/9/2015 12:07:03.210,0.938,0.184,-0.129
7/9/2015 12:07:03.220,0.934,0.203,-0.121
7/9/2015 12:07:03.230,0.938,0.199,-0.125
7/9/2015 12:07:03.240,0.93,0.203,-0.113
