Timestamp,Axis1,Axis2,Axis3
0.5,-0.055,1.051,0.23
0.6,-0.773,0.109,1.406
0.7,-0.973,0.027,1.406
0.8,-0.945,0.117,0.527
0.9,-0.961,0.148,0.137
1,-0.977,0.156,-0.012
1.1,-0.988,0.168,-0.063
1.2,-0.992,0.176,-0.082
1.3,-0.988,0.18,-0.09
1.4,-0.988,0.18,-0.09
1.5,-0.984,0.184,-0.094
1.6,-0.98,0.184,-0.094
1.7,-0.984,0.184,-0.098
1.8,-0.988,0.184,-0.098
1.9,-0.984,0.184,-0.102
2,-0.988,0.191,-0.102
2.1,-0.992,0.188,-0.094
2.2,-0.992,0.188,-0.094
2.3,-0.992,0.188,-0.094
2.4,-0.988,0.184,-0.094
2.5,-0.988,0.184,-0.094
2.6,-0.992,0.184,-0.098
2.7,-0.988,0.176,-0.102
2.8,-0.992,0.176,-0.102
2.9,-0.996,0.172,-0.098
3,-0.992,0.172,-0.105
3.1,-0.992,0.168,-0.105
3.2,-0.988,0.164,-0.102
3.3,-0.988,0.164,-0.105
3.4,-0.984,0.16,-0.105
3.5,-0.984,0.172,-0.105
3.6,-0.988,0.176,-0.102
3.7,-0.988,0.168,-0.105
3.8,-0.988,0.176,-0.102
3.9,-0.984,0.176,-0.102
4,-0.984,0.18,-0.098
4.1,-0.992,0.184,-0.094
4.2,-0.992,0.184,-0.098
4.3,-0.988,0.184,-0.102
4.4,-0.988,0.18,-0.102
4.5,-0.988,0.176,-0.098
4.6,-0.992,0.176,-0.098
4.7,-0.992,0.18,-0.098
4.8,-0.996,0.184,-0.094
4.9,-0.992,0.184,-0.098
5,-0.988,0.184,-0.098
5.1,-0.988,0.18,-0.098
5.2,-0.988,0.184,-0.102
5.3,-0.988,0.184,-0.098
5.4,-0.988,0.184,-0.094
5.5,-0.988,0.184,-0.094
5.6,-0.988,0.18,-0.094
5.7,-0.984,0.184,-0.094
5.8,-0.984,0.184,-0.098
5.9,-0.988,0.184,-0.098
6,-0.988,0.184,-0.094
6.1,-0.988,0.184,-0.102
6.2,-0.988,0.18,-0.102
6.3,-0.988,0.18,-0.102
6.4,-0.988,0.184,-0.098
6.5,-0.984,0.184,-0.094
6.6,-0.984,0.184,-0.098
6.7,-0.984,0.18,-0.094
6.8,-0.992,0.184,-0.094
6.9,-0.988,0.184,-0.094
7,-0.992,0.188,-0.094
7.1,-0.984,0.188,-0.09
7.2,-0.988,0.188,-0.09
7.3,-0.988,0.188,-0.09
7.4,-0.984,0.188,-0.094
7.5,-0.988,0.188,-0.094
7.6,-0.992,0.184,-0.094
7.7,-0.992,0.184,-0.094
7.8,-0.992,0.18,-0.094
7.9,-0.992,0.18,-0.094
8,-0.992,0.18,-0.094
8.1,-0.988,0.18,-0.094
8.2,-0.984,0.176,-0.094
8.3,-0.98,0.176,-0.094
8.4,-0.984,0.18,-0.098
8.5,-0.984,0.18,-0.094
8.6,-0.984,0.18,-0.094
8.7,-0.988,0.18,-0.098
8.8,-0.988,0.18,-0.094
8.9,-0.988,0.176,-0.098
9,-0.988,0.176,-0.098
9.1,-0.984,0.18,-0.098
9.2,-0.988,0.184,-0.098
9.3,-0.988,0.18,-0.098
9.4,-0.988,0.18,-0.094
9.5,-0.984,0.176,-0.094
9.6,-0.988,0.172,-0.094
9.7,-0.984,0.176,-0.094
9.8,-0.984,0.176,-0.094
9.9,-0.984,0.18,-0.094
10,-0.988,0.176,-0.094
10.1,-0.988,0.18,-0.094
10.2,-0.988,0.184,-0.09
10.3,-0.992,0.184,-0.09
10.4,-0.984,0.184,-0.09
10.5,-0.98,0.184,-0.09
10.6,-0.98,0.184,-0.09
10.7,-0.984,0.184,-0.09
10.8,-0.988,0.184,-0.094
10.9,-0.988,0.184,-0.094
11,-0.988,0.184,-0.09
11.1,-0.988,0.184,-0.09
11.2,-0.988,0.184,-0.09
11.3,-0.988,0.188,-0.09
11.4,-0.984,0.184,-0.098
11.5,-0.988,0.18,-0.094
11.6,-0.988,0.172,-0.09
11.7,-0.988,0.172,-0.09
11.8,-0.988,0.172,-0.094
11.9,-0.988,0.176,-0.094
12,-0.992,0.18,-0.098
12.1,-0.992,0.18,-0.094
12.2,-0.988,0.176,-0.094
12.3,-0.992,0.168,-0.094
12.4,-0.996,0.176,-0.094
12.5,-0.992,0.172,-0.098
12.6,-0.992,0.168,-0.098
12.7,-0.988,0.168,-0.102
12.8,-0.988,0.168,-0.098
12.9,-0.988,0.168,-0.094
13,-0.988,0.176,-0.094
13.1,-0.992,0.184,-0.094
13.2,-0.996,0.184,-0.094
13.3,-0.992,0.184,-0.094
13.4,-0.992,0.18,-0.094
13.5,-0.992,0.18,-0.098
13.6,-0.996,0.172,-0.094
13.7,-0.992,0.176,-0.094
13.8,-0.992,0.176,-0.094
13.9,-0.992,0.18,-0.094
14,-0.984,0.172,-0.094
14.1,-0.984,0.18,-0.094
14.2,-0.988,0.18,-0.09
14.3,-0.988,0.18,-0.09
14.4,-0.988,0.176,-0.09
14.5,-0.992,0.18,-0.09
14.6,-0.992,0.184,-0.09
14.7,-0.988,0.176,-0.09
14.8,-0.992,0.18,-0.09
14.9,-0.988,0.18,-0.09
15,-0.988,0.184,-0.09
15.1,-0.988,0.188,-0.09
15.2,-0.98,0.188,-0.094
15.3,-0.984,0.188,-0.094
15.4,-0.984,0.184,-0.09
15.5,-0.984,0.184,-0.09
15.6,-0.98,0.184,-0.086
15.7,-0.984,0.188,-0.086
15.8,-0.988,0.188,-0.09
15.9,-0.988,0.184,-0.09
16,-0.988,0.188,-0.09
16.1,-0.992,0.18,-0.094
16.2,-0.988,0.18,-0.086
16.3,-0.988,0.184,-0.086
16.4,-0.988,0.18,-0.09
16.5,-0.992,0.18,-0.098
16.6,-0.988,0.184,-0.094
16.7,-0.988,0.18,-0.094
16.8,-0.988,0.18,-0.094
16.9,-0.988,0.18,-0.09
17,-0.984,0.172,-0.09
17.1,-0.992,0.176,-0.094
17.2,-0.992,0.18,-0.094
17.3,-0.984,0.184,-0.094
17.4,-0.984,0.184,-0.094
17.5,-0.984,0.184,-0.094
17.6,-0.98,0.184,-0.094
17.7,-0.98,0.18,-0.09
17.8,-0.988,0.18,-0.094
17.9,-0.988,0.18,-0.094
18,-0.984,0.184,-0.094
18.1,-0.984,0.18,-0.094
18.2,-0.988,0.184,-0.094
18.3,-0.988,0.184,-0.094
18.4,-0.992,0.18,-0.094
18.5,-0.988,0.172,-0.094
18.6,-0.988,0.18,-0.094
18.7,-0.988,0.18,-0.094
18.8,-0.984,0.18,-0.09
18.9,-0.984,0.18,-0.09
19,-0.988,0.184,-0.09
19.1,-0.988,0.184,-0.09
19.2,-0.988,0.184,-0.086
19.3,-0.992,0.184,-0.09
19.4,-0.988,0.176,-0.09
19.5,-0.988,0.18,-0.09
19.6,-0.984,0.184,-0.09
19.7,-0.984,0.184,-0.09
19.8,-0.988,0.188,-0.09
19.9,-0.992,0.188,-0.094
20,-0.992,0.188,-0.094
20.1,-0.992,0.188,-0.098
20.2,-0.98,0.184,-0.086
20.3,-0.977,0.184,-0.09
20.4,-0.98,0.184,-0.09
20.5,-0.984,0.184,-0.09
20.6,-0.977,0.184,-0.09
20.7,-0.984,0.18,-0.09
20.8,-0.984,0.172,-0.094
20.9,-0.984,0.176,-0.094
21,-0.988,0.176,-0.094
21.1,-0.988,0.18,-0.098
21.2,-0.98,0.18,-0.094
21.3,-0.98,0.18,-0.094
21.4,-0.984,0.184,-0.09
21.5,-0.988,0.18,-0.09
21.6,-0.988,0.18,-0.09
21.7,-0.988,0.184,-0.094
21.8,-0.984,0.18,-0.094
21.9,-0.988,0.184,-0.094
22,-0.988,0.18,-0.09
22.1,-0.984,0.184,-0.094
22.2,-0.988,0.18,-0.09
22.3,-0.988,0.18,-0.09
22.4,-0.988,0.176,-0.09
22.5,-0.988,0.18,-0.094
22.6,-0.984,0.172,-0.094
22.7,-0.988,0.172,-0.094
22.8,-0.988,0.18,-0.094
22.9,-0.988,0.18,-0.094
23,-0.988,0.18,-0.094
23.1,-0.988,0.176,-0.094
23.2,-0.988,0.172,-0.09
23.3,-0.988,0.18,-0.094
23.4,-0.984,0.176,-0.094
23.5,-0.988,0.18,-0.094
23.6,-0.984,0.18,-0.086
23.7,-0.988,0.184,-0.09
23.8,-0.988,0.18,-0.09
23.9,-0.984,0.184,-0.09
24,-0.988,0.18,-0.09
24.1,-0.988,0.18,-0.094
24.2,-0.984,0.184,-0.094
24.3,-0.988,0.184,-0.094
24.4,-0.992,0.184,-0.094
24.5,-0.996,0.184,-0.094
24.6,-0.996,0.18,-0.094
24.7,-0.992,0.18,-0.086
24.8,-0.992,0.184,-0.09
24.9,-0.988,0.184,-0.09
25,-0.98,0.188,-0.094
25.1,-0.988,0.188,-0.094
25.2,-0.984,0.184,-0.09
25.3,-0.984,0.188,-0.09
25.4,-0.992,0.188,-0.09
25.5,-0.992,0.188,-0.09
25.6,-0.984,0.188,-0.094
25.7,-0.984,0.184,-0.086
25.8,-0.984,0.184,-0.09
25.9,-0.984,0.188,-0.094
26,-0.984,0.188,-0.094
26.1,-0.98,0.184,-0.09
26.2,-0.984,0.18,-0.09
26.3,-0.988,0.176,-0.094
26.4,-0.988,0.18,-0.094
26.5,-0.988,0.184,-0.094
26.6,-0.984,0.18,-0.09
26.7,-0.992,0.176,-0.09
26.8,-0.992,0.18,-0.09
26.9,-0.988,0.184,-0.09
27,-0.988,0.18,-0.09
27.1,-0.988,0.184,-0.09
27.2,-0.988,0.184,-0.09
27.3,-0.992,0.18,-0.09
27.4,-0.988,0.176,-0.094
27.5,-0.988,0.18,-0.094
27.6,-0.988,0.184,-0.094
27.7,-0.988,0.184,-0.09
27.8,-0.988,0.176,-0.09
27.9,-0.992,0.176,-0.09
28,-0.992,0.18,-0.09
28.1,-0.988,0.176,-0.09
28.2,-0.988,0.172,-0.094
28.3,-0.988,0.168,-0.094
28.4,-0.98,0.176,-0.09
28.5,-0.988,0.184,-0.09
28.6,-0.984,0.176,-0.09
28.7,-0.988,0.176,-0.094
28.8,-0.984,0.172,-0.094
28.9,-0.988,0.176,-0.094
29,-0.988,0.176,-0.09
29.1,-0.988,0.18,-0.09
29.2,-0.988,0.184,-0.094
29.3,-0.984,0.176,-0.094
29.4,-0.984,0.184,-0.094
29.5,-0.988,0.184,-0.09
29.6,-0.996,0.176,-0.09
29.7,-0.992,0.18,-0.09
29.8,-0.996,0.184,-0.09
29.9,-0.992,0.184,-0.09
30,-0.988,0.184,-0.09
30.1,-0.992,0.184,-0.09
30.2,-0.984,0.184,-0.086
30.3,-0.98,0.18,-0.09
30.4,-0.984,0.176,-0.09
30.5,-0.988,0.18,-0.09
30.6,-0.977,0.18,-0.094
30.7,-0.988,0.172,-0.09
30.8,-0.992,0.168,-0.094
30.9,-0.992,0.172,-0.094
31,-0.992,0.18,-0.094
31.1,-0.988,0.18,-0.094
31.2,-0.988,0.176,-0.094
31.3,-0.988,0.18,-0.09
31.4,-0.992,0.184,-0.09
31.5,-0.992,0.184,-0.086
31.6,-0.992,0.18,-0.086
31.7,-0.992,0.176,-0.086
31.8,-0.988,0.18,-0.09
31.9,-0.992,0.184,-0.09
32,-0.988,0.18,-0.09
32.1,-0.988,0.18,-0.094
32.2,-0.988,0.18,-0.09
32.3,-0.988,0.18,-0.086
32.4,-0.984,0.18,-0.086
32.5,-0.988,0.18,-0.086
32.6,-0.992,0.18,-0.09
32.7,-0.988,0.18,-0.09
32.8,-0.984,0.18,-0.086
32.9,-0.98,0.172,-0.086
33,-0.984,0.18,-0.09
33.1,-0.992,0.18,-0.09
33.2,-0.992,0.18,-0.09
33.3,-0.996,0.18,-0.094
33.4,-0.996,0.176,-0.094
33.5,-0.988,0.172,-0.09
33.6,-0.988,0.168,-0.09
33.7,-0.992,0.176,-0.09
33.8,-0.984,0.172,-0.09
33.9,-0.984,0.176,-0.09
34,-0.988,0.172,-0.09
34.1,-0.992,0.176,-0.09
34.2,-0.992,0.18,-0.09
34.3,-0.984,0.176,-0.09
34.4,-0.984,0.172,-0.09
34.5,-0.988,0.172,-0.086
34.6,-0.988,0.172,-0.086
34.7,-0.988,0.176,-0.09
34.8,-0.996,0.18,-0.09
34.9,-0.996,0.18,-0.086
35,-0.992,0.176,-0.082
35.1,-0.988,0.176,-0.086
35.2,-0.992,0.18,-0.086
35.3,-0.984,0.172,-0.086
35.4,-0.984,0.176,-0.086
35.5,-0.984,0.172,-0.086
35.6,-0.98,0.172,-0.09
35.7,-0.984,0.176,-0.09
35.8,-0.988,0.176,-0.086
35.9,-0.992,0.184,-0.086
36,-0.996,0.184,-0.082
36.1,-0.992,0.184,-0.082
36.2,-0.988,0.184,-0.086
36.3,-0.988,0.184,-0.082
36.4,-0.984,0.184,-0.082
36.5,-0.988,0.184,-0.09
36.6,-0.992,0.18,-0.09
36.7,-0.992,0.18,-0.09
36.8,-0.992,0.18,-0.086
36.9,-0.988,0.176,-0.09
37,-0.988,0.18,-0.086
37.1,-0.988,0.176,-0.09
37.2,-0.988,0.176,-0.09
37.3,-0.984,0.18,-0.086
