Timestamp,Axis1,Axis2,Axis3,,
2474.2,-0.324,0.867,1.227,,START
2474.3,-0.891,1.316,1.758,,
2474.4,-1.906,1.398,1.449,,
2474.5,-2.234,1.574,1.316,,
2474.6,-2.328,1.996,2.004,,
2474.7,-2.383,2.293,2.203,,
2474.8,-2.297,1.996,1.48,,
2474.9,-2.07,1.469,0.832,,
2475,-1.828,0.961,0.723,,
2475.1,-1.766,0.5,0.785,,
2475.2,-1.785,0.207,0.867,,
2475.3,-1.676,0.059,0.855,,
2475.4,-1.555,0.008,0.758,,
2475.5,-1.473,0.027,0.66,,
2475.6,-1.418,0.176,0.582,,
2475.7,-1.367,0.336,0.543,,
2475.8,-1.332,0.492,0.586,,
2475.9,-1.367,0.656,0.539,,
2476,-1.344,0.793,0.508,,
2476.1,-1.246,0.723,0.496,,
2476.2,-1.188,0.535,0.449,,
2476.3,-1.199,0.324,0.406,,
2476.4,-1.16,0.188,0.371,,
2476.5,-1.055,0.129,0.336,,
2476.6,-0.938,0.133,0.332,,
2476.7,-0.855,0.172,0.367,,
2476.8,-0.813,0.215,0.402,,
2476.9,-0.781,0.238,0.406,,
2477,-0.777,0.25,0.383,,
2477.1,-0.781,0.246,0.363,,
2477.2,-0.781,0.27,0.344,,
2477.3,-0.734,0.297,0.32,,
2477.4,-0.648,0.301,0.238,,
2477.5,-0.586,0.313,0.164,,
2477.6,-0.52,0.328,0.129,,
2477.7,-0.477,0.344,0.137,,
2477.8,-0.469,0.363,0.148,,
2477.9,-0.504,0.367,0.156,,
2478,-0.555,0.367,0.172,,
2478.1,-0.594,0.355,0.207,,
2478.2,-0.621,0.32,0.266,,
2478.3,-0.648,0.27,0.32,,
2478.4,-0.688,0.223,0.34,,
2478.5,-0.742,0.199,0.332,,
2478.6,-0.801,0.195,0.305,,
2478.7,-0.84,0.219,0.289,,
2478.8,-0.871,0.262,0.309,,
2478.9,-0.902,0.313,0.324,,
2479,-0.926,0.344,0.324,,
2479.1,-0.938,0.355,0.309,,
2479.2,-0.938,0.355,0.277,,
2479.3,-0.941,0.336,0.242,,
2479.4,-0.949,0.293,0.219,,
2479.5,-0.926,0.246,0.23,,
2479.6,-0.898,0.215,0.254,,
2479.7,-0.883,0.191,0.266,,
2479.8,-0.898,0.176,0.266,,
2479.9,-0.934,0.164,0.238,,
2480,-0.961,0.164,0.211,,
2480.1,-0.953,0.172,0.227,,
2480.2,-0.941,0.188,0.238,,
2480.3,-0.941,0.211,0.227,,
2480.4,-0.898,0.219,0.203,,
2480.5,-0.855,0.195,0.176,,
2480.6,-0.809,0.168,0.184,,
2480.7,-0.809,0.145,0.188,,
2480.8,-0.824,0.148,0.199,,
2480.9,-0.855,0.16,0.215,,
2481,-0.875,0.188,0.191,,
2481.1,-0.879,0.234,0.195,,
2481.2,-0.887,0.348,0.25,,
2481.3,-0.938,0.473,0.313,,
2481.4,-0.973,0.563,0.344,,
2481.5,-0.996,0.605,0.34,,
2481.6,-0.973,0.609,0.34,,
2481.7,-0.961,0.574,0.344,,
2481.8,-0.973,0.531,0.383,,
2481.9,-0.996,0.473,0.41,,
2482,-1.016,0.422,0.383,,
2482.1,-0.953,0.395,0.371,,
2482.2,-0.887,0.363,0.367,,
2482.3,-0.844,0.352,0.352,,
2482.4,-0.789,0.352,0.348,,
2482.5,-0.777,0.355,0.359,,
2482.6,-0.773,0.352,0.371,,
2482.7,-0.789,0.34,0.387,,
2482.8,-0.836,0.324,0.379,,
2482.9,-0.891,0.328,0.395,,
2483,-0.945,0.344,0.406,,
2483.1,-0.992,0.363,0.41,,
2483.2,-1.008,0.379,0.395,,
2483.3,-1.004,0.367,0.348,,
2483.4,-0.98,0.355,0.316,,
2483.5,-0.969,0.348,0.289,,
2483.6,-0.961,0.336,0.273,,
2483.7,-0.961,0.313,0.285,,
2483.8,-0.941,0.27,0.305,,
2483.9,-0.926,0.223,0.32,,
2484,-0.914,0.184,0.313,,
2484.1,-0.91,0.168,0.313,,
2484.2,-0.914,0.164,0.309,,
2484.3,-0.926,0.176,0.289,,
2484.4,-0.918,0.195,0.277,,
2484.5,-0.891,0.211,0.262,,
2484.6,-0.863,0.199,0.246,,
2484.7,-0.832,0.18,0.238,,
2484.8,-0.816,0.145,0.238,,
2484.9,-0.82,0.117,0.246,,
2485,-0.844,0.105,0.266,,
2485.1,-0.871,0.094,0.301,,
2485.2,-0.906,0.102,0.313,,
2485.3,-0.914,0.102,0.293,,
2485.4,-0.902,0.125,0.27,,
2485.5,-0.887,0.137,0.25,,
2485.6,-0.879,0.129,0.23,,
2485.7,-0.887,0.113,0.219,,
2485.8,-0.895,0.098,0.219,,
2485.9,-0.918,0.094,0.223,,
2486,-0.949,0.094,0.238,,
2486.1,-0.973,0.105,0.25,,
2486.2,-0.973,0.109,0.258,,
2486.3,-0.961,0.113,0.258,,
2486.4,-0.949,0.121,0.27,,
2486.5,-0.953,0.141,0.297,,
2486.6,-0.973,0.16,0.324,,
2486.7,-0.996,0.18,0.332,,
2486.8,-1.004,0.207,0.336,,
2486.9,-0.992,0.219,0.336,,
2487,-0.98,0.215,0.328,,
2487.1,-0.965,0.207,0.316,,
2487.2,-0.965,0.23,0.324,,
2487.3,-0.992,0.266,0.34,,
2487.4,-1.031,0.309,0.359,,
2487.5,-1.051,0.328,0.387,,
2487.6,-1.051,0.328,0.426,,
2487.7,-1.063,0.324,0.457,,
2487.8,-1.086,0.34,0.457,,
2487.9,-1.082,0.34,0.414,,
2488,-1.043,0.328,0.355,,
2488.1,-1.016,0.336,0.328,,
2488.2,-1,0.32,0.305,,
2488.3,-0.973,0.305,0.313,,
2488.4,-0.949,0.297,0.328,,
2488.5,-0.941,0.297,0.332,,
2488.6,-0.926,0.313,0.336,,
2488.7,-0.906,0.32,0.32,,
2488.8,-0.891,0.328,0.297,,
2488.9,-0.887,0.328,0.266,,
2489,-0.887,0.316,0.242,,
2489.1,-0.891,0.293,0.219,,
2489.2,-0.914,0.273,0.203,,
2489.3,-0.941,0.254,0.191,,
2489.4,-0.965,0.23,0.191,,
2489.5,-0.992,0.203,0.195,,
2489.6,-1.016,0.199,0.219,,
2489.7,-1.027,0.195,0.25,,
2489.8,-1.023,0.191,0.281,,
2489.9,-1,0.191,0.297,,
2490,-0.973,0.199,0.293,,
2490.1,-0.949,0.219,0.27,,
2490.2,-0.91,0.234,0.254,,
2490.3,-0.867,0.25,0.234,,
2490.4,-0.84,0.266,0.215,,
2490.5,-0.832,0.297,0.207,,
2490.6,-0.836,0.324,0.215,,
2490.7,-0.852,0.344,0.211,,
2490.8,-0.859,0.359,0.223,,
2490.9,-0.867,0.359,0.238,,
2491,-0.852,0.344,0.23,,
2491.1,-0.852,0.324,0.238,,
2491.2,-0.844,0.301,0.254,,
2491.3,-0.836,0.285,0.27,,
2491.4,-0.832,0.266,0.273,,
2491.5,-0.844,0.262,0.258,,
2491.6,-0.836,0.258,0.242,,
2491.7,-0.852,0.273,0.223,,
2491.8,-0.848,0.277,0.199,,
2491.9,-0.836,0.281,0.18,,
2492,-0.793,0.281,0.188,,
2492.1,-0.781,0.277,0.203,,
2492.2,-0.809,0.258,0.199,,
2492.3,-0.844,0.238,0.188,,
2492.4,-0.871,0.227,0.191,,
2492.5,-0.922,0.219,0.188,,
2492.6,-0.965,0.211,0.172,,
2492.7,-0.984,0.203,0.164,,
2492.8,-0.949,0.176,0.176,,
2492.9,-0.906,0.164,0.223,,
2493,-0.887,0.18,0.281,,
2493.1,-0.887,0.223,0.332,,
2493.2,-0.895,0.273,0.328,,
2493.3,-0.914,0.289,0.254,,
2493.4,-0.988,0.301,0.176,,
2493.5,-1.121,0.293,0.141,,
2493.6,-1.215,0.301,0.215,,
2493.7,-1.254,0.281,0.289,,
2493.8,-1.219,0.258,0.305,,
2493.9,-1.148,0.262,0.313,,
2494,-1.121,0.313,0.332,,
2494.1,-1.125,0.379,0.387,,
2494.2,-1.125,0.41,0.434,,
2494.3,-1.125,0.441,0.426,,
2494.4,-1.082,0.449,0.391,,
2494.5,-1.031,0.426,0.316,,
2494.6,-0.961,0.383,0.262,,
2494.7,-0.879,0.313,0.227,,
2494.8,-0.797,0.258,0.215,,
2494.9,-0.734,0.223,0.227,,
2495,-0.719,0.219,0.266,,
2495.1,-0.738,0.211,0.324,,
2495.2,-0.754,0.195,0.363,,
2495.3,-0.754,0.195,0.379,,
2495.4,-0.785,0.23,0.391,,
2495.5,-0.801,0.254,0.418,,
2495.6,-0.809,0.266,0.422,,
2495.7,-0.832,0.285,0.422,,
2495.8,-0.875,0.301,0.418,,
2495.9,-0.941,0.324,0.43,,
2496,-0.996,0.332,0.426,,
2496.1,-1.023,0.34,0.414,,
2496.2,-0.992,0.34,0.387,,
2496.3,-0.941,0.344,0.352,,
2496.4,-0.91,0.344,0.328,,
2496.5,-0.895,0.332,0.313,,
2496.6,-0.887,0.305,0.305,,
2496.7,-0.883,0.266,0.301,,
2496.8,-0.875,0.234,0.305,,
2496.9,-0.863,0.207,0.316,,
2497,-0.855,0.195,0.32,,
2497.1,-0.852,0.195,0.309,,
2497.2,-0.84,0.199,0.297,,
2497.3,-0.844,0.223,0.289,,
2497.4,-0.855,0.234,0.297,,
2497.5,-0.871,0.242,0.309,,
2497.6,-0.879,0.242,0.313,,
2497.7,-0.871,0.23,0.324,,
2497.8,-0.867,0.215,0.32,,
2497.9,-0.871,0.199,0.316,,
2498,-0.883,0.18,0.32,,
2498.1,-0.906,0.168,0.328,,
2498.2,-0.922,0.156,0.328,,
2498.3,-0.934,0.148,0.324,,
2498.4,-0.938,0.145,0.305,,
2498.5,-0.945,0.137,0.285,,
2498.6,-0.945,0.125,0.277,,
2498.7,-0.945,0.113,0.27,,
2498.8,-0.949,0.105,0.266,,
2498.9,-0.945,0.094,0.262,,
2499,-0.938,0.098,0.258,,
2499.1,-0.93,0.102,0.266,,
2499.2,-0.934,0.113,0.266,,
2499.3,-0.945,0.121,0.254,,
2499.4,-0.957,0.141,0.254,,
2499.5,-0.984,0.172,0.262,,
2499.6,-1.008,0.188,0.273,,
2499.7,-1.008,0.199,0.273,,
2499.8,-1.004,0.195,0.277,,
2499.9,-0.996,0.176,0.285,,
2500,-0.98,0.156,0.293,,
2500.1,-0.973,0.148,0.285,,
2500.2,-0.98,0.152,0.281,,
2500.3,-0.973,0.16,0.27,,
2500.4,-0.973,0.191,0.258,,
2500.5,-0.984,0.219,0.27,,
2500.6,-0.988,0.238,0.305,,
2500.7,-0.996,0.262,0.359,,
2500.8,-1.016,0.277,0.398,,
2500.9,-1.027,0.297,0.434,,
2501,-1.035,0.309,0.461,,
2501.1,-1.035,0.324,0.465,,
2501.2,-1.035,0.328,0.43,,
2501.3,-1.012,0.309,0.375,,
2501.4,-0.973,0.285,0.332,,
2501.5,-0.941,0.238,0.297,,
2501.6,-0.918,0.234,0.289,,
2501.7,-0.914,0.266,0.281,,
2501.8,-0.922,0.305,0.27,,
2501.9,-0.914,0.328,0.262,,
2502,-0.895,0.34,0.262,,
2502.1,-0.887,0.344,0.266,,
2502.2,-0.922,0.344,0.25,,
2502.3,-0.949,0.32,0.242,,
2502.4,-0.961,0.285,0.246,,
2502.5,-0.977,0.25,0.25,,
2502.6,-1.012,0.227,0.234,,
2502.7,-1.043,0.207,0.211,,
2502.8,-1.055,0.195,0.195,,
2502.9,-1.051,0.18,0.207,,
2503,-1.039,0.191,0.215,,
2503.1,-1.016,0.207,0.23,,
2503.2,-0.98,0.215,0.25,,
2503.3,-0.938,0.219,0.258,,
2503.4,-0.895,0.238,0.258,,
2503.5,-0.859,0.258,0.246,,
2503.6,-0.832,0.285,0.242,,
2503.7,-0.816,0.309,0.238,,
2503.8,-0.801,0.324,0.238,,
2503.9,-0.801,0.336,0.23,,
2504,-0.805,0.332,0.227,,
2504.1,-0.828,0.328,0.215,,
2504.2,-0.84,0.32,0.207,,
2504.3,-0.848,0.309,0.207,,
2504.4,-0.852,0.293,0.215,,
2504.5,-0.863,0.277,0.227,,
2504.6,-0.875,0.27,0.238,,
2504.7,-0.879,0.258,0.234,,
2504.8,-0.879,0.254,0.215,,
2504.9,-0.871,0.25,0.195,,
2505,-0.859,0.242,0.184,,
2505.1,-0.832,0.242,0.176,,
2505.2,-0.82,0.234,0.176,,
2505.3,-0.824,0.227,0.176,,
2505.4,-0.828,0.219,0.168,,
2505.5,-0.828,0.219,0.168,,
2505.6,-0.844,0.199,0.168,,
2505.7,-0.898,0.188,0.164,,
2505.8,-0.953,0.172,0.156,,
2505.9,-0.996,0.16,0.152,,
2506,-1.02,0.145,0.16,,
2506.1,-1.02,0.129,0.176,,
2506.2,-1,0.113,0.207,,
2506.3,-0.984,0.109,0.227,,
2506.4,-0.969,0.113,0.25,,
2506.5,-0.973,0.133,0.266,,
2506.6,-0.988,0.164,0.266,,
2506.7,-1,0.191,0.227,,
2506.8,-1.012,0.203,0.195,,
2506.9,-1.047,0.203,0.184,,
2507,-1.094,0.195,0.199,,
2507.1,-1.141,0.191,0.25,,
2507.2,-1.176,0.199,0.281,,
2507.3,-1.176,0.211,0.281,,
2507.4,-1.145,0.254,0.301,,
2507.5,-1.148,0.336,0.344,,
2507.6,-1.152,0.395,0.367,,
2507.7,-1.109,0.438,0.371,,
2507.8,-1.082,0.461,0.328,,
2507.9,-1.051,0.48,0.289,,
2508,-0.988,0.477,0.266,,
