,Timestamp,Axis1,Axis2,Axis3,Unnamed: 4,Unnamed: 5,SUM,FILTER
0,0.0,0.328,0.672,0.23,,START,0.782347748766,0.782347748766
1,0.1,0.293,0.598,0.195,,,0.69388615781,0.773501589671
2,0.2,0.086,0.398,0.121,,,0.424783474255,0.738629778129
3,0.3,-0.148,0.059,0.043,,,0.165027270474,0.681269527364
4,0.4,-0.215,-0.199,0.074,,,0.302162208094,0.643358795437
5,0.5,-0.164,-0.297,0.0,,,0.339271277888,0.612950043682
6,0.6,-0.203,-0.375,-0.281,,,0.510680917991,0.602723131113
7,0.7,-0.113,-0.086,-0.332,,,0.361094170543,0.578560235056
8,0.8,0.141,0.113,-0.141,,,0.229196422311,0.543623853781
9,0.9,0.156,0.215,-0.109,,,0.287127149535,0.517974183357
10,1.0,0.039,0.457,-0.117,,,0.47334870867,0.513511635888
11,1.1,-0.16,0.457,-0.234,,,0.53777783517,0.515938255816
12,1.2,-0.301,0.195,-0.313,,,0.476019957565,0.511946425991
13,1.3,-0.266,0.121,-0.184,,,0.345330276692,0.495284811061
14,1.4,-0.258,0.133,-0.094,,,0.305104899993,0.476266819954
15,1.5,-0.273,0.145,-0.047,,,0.312670753349,0.459907213294
16,1.6,-0.285,0.105,0.016,,,0.304147990294,0.444331290994
17,1.7,-0.332,-0.008,0.105,,,0.34830015791,0.434728177685
18,1.8,-0.348,-0.145,0.117,,,0.394737887718,0.430729148689
19,1.9,-0.25,-0.301,0.012,,,0.39146519641,0.426802753461
20,2.0,-0.168,-0.324,0.055,,,0.369086710679,0.421031149183
21,2.1,-0.164,-0.258,0.055,,,0.310620347048,0.409990068969
22,2.2,-0.156,-0.148,0.023,,,0.216261415884,0.390617203661
23,2.3,-0.172,-0.039,0.02,,,0.177496478838,0.369305131178
24,2.4,-0.18,0.0,0.027,,,0.182013735745,0.350575991635
25,2.5,-0.188,-0.012,0.047,,,0.194157152843,0.334934107756
26,2.6,-0.211,-0.031,-0.012,,,0.213602434443,0.322800940425
27,2.7,-0.191,-0.063,-0.031,,,0.203496928724,0.310870539254
28,2.8,-0.16,-0.09,0.008,,,0.183749829932,0.298158468322
29,2.9,-0.203,-0.082,-0.023,,,0.220140863994,0.290356707889
30,3.0,-0.266,-0.063,-0.047,,,0.277369789271,0.289058016028
31,3.1,-0.242,-0.031,-0.02,,,0.244795833298,0.284631797755
32,3.2,-0.18,0.0,-0.023,,,0.181463494951,0.274314967474
33,3.3,-0.156,0.016,-0.027,,,0.159125736448,0.262796044372
34,3.4,-0.148,0.047,-0.031,,,0.158347718645,0.252351211799
35,3.5,-0.109,0.074,-0.039,,,0.137397234324,0.240855814051
36,3.6,-0.109,0.09,-0.031,,,0.144713510081,0.231241583654
37,3.7,-0.148,0.125,-0.035,,,0.196860356598,0.227803460949
38,3.8,-0.203,0.18,-0.004,,,0.271339271024,0.232157041956
39,3.9,-0.203,0.18,0.035,,,0.273558037718,0.236297141532
40,4.0,-0.152,0.152,0.039,,,0.21846967753,0.234514395132
41,4.1,-0.133,0.109,-0.012,,,0.17237749273,0.228300704892
42,4.2,-0.148,0.063,-0.07,,,0.175422347493,0.223012869152
43,4.3,-0.168,0.023,-0.074,,,0.185010810495,0.219212663286
44,4.4,-0.211,-0.012,-0.066,,,0.221406865296,0.219432083487
45,4.5,-0.32,-0.012,-0.051,,,0.324260697588,0.229914944897
46,4.6,-0.418,0.012,-0.039,,,0.419986904558,0.248922140863
47,4.7,-0.457,0.055,-0.027,,,0.461088928516,0.270138819629
48,4.8,-0.438,0.039,-0.008,,,0.439805638891,0.287105501555
49,4.9,-0.402,0.023,-0.008,,,0.402736886813,0.298668640081
50,5.0,-0.387,0.039,-0.059,,,0.393409455911,0.308142721664
51,5.1,-0.355,0.102,-0.031,,,0.370661570708,0.314394606568
52,5.2,-0.25,0.145,0.098,,,0.305170444178,0.313472190329
53,5.3,-0.125,0.215,0.117,,,0.274843591885,0.309609330485
54,5.4,-0.012,0.438,-0.039,,,0.439896578755,0.322638055312
55,5.5,-0.066,0.832,-0.102,,,0.840823405954,0.374456590376
56,5.6,-0.496,1.742,0.492,,,1.87687080003,0.524698011341
57,5.7,-2.652,3.023,1.277,,,4.21928453651,0.894156663858
58,5.8,-4.887,3.371,1.359,,,6.09042617556,1.41378361503
59,5.9,-3.891,2.281,0.406,,,4.52854038295,1.72525929182
60,6.0,-2.43,2.574,0.262,,,3.54950982531,1.90768434517
61,6.1,-2.617,3.195,0.625,,,4.17700119703,2.13461603036
62,6.2,-2.531,2.516,0.645,,,3.62660199084,2.2838146264
63,6.3,-2.055,1.594,0.465,,,2.64198523841,2.31963168761
64,6.4,-1.922,1.031,0.32,,,2.20441488835,2.30811000768
65,6.5,-2.031,0.891,0.324,,,2.2413875167,2.30143775858
66,6.6,-2.125,0.785,0.262,,,2.28045916429,2.29933989915
67,6.7,-2.039,0.734,0.105,,,2.16963176599,2.28636908584
68,6.8,-1.859,0.684,-0.047,,,1.98140001009,2.25587217826
69,6.9,-1.656,0.555,-0.121,,,1.7507147112,2.20535643156
70,7.0,-1.406,0.441,-0.129,,,1.47917476993,2.13273826539
71,7.1,-1.148,0.414,-0.047,,,1.22127351564,2.04159179042
72,7.2,-1.027,0.449,0.078,,,1.12357198256,1.94978980963
73,7.3,-1.117,0.57,0.172,,,1.26576972629,1.8813878013
74,7.4,-1.207,0.613,0.223,,,1.37198651597,1.83044767277
75,7.5,-1.18,0.598,0.254,,,1.34704120204,1.78210702569
76,7.6,-1.09,0.477,0.203,,,1.20699544324,1.72459586745
77,7.7,-1.012,0.332,0.109,,,1.07063018825,1.65919929953
78,7.8,-0.945,0.223,0.043,,,0.971906888544,1.59047005843
79,7.9,-0.875,0.145,-0.02,,,0.887158384957,1.52013889108
80,8.0,-0.816,0.102,-0.047,,,0.823692296917,1.45049423167
81,8.1,-0.82,0.09,-0.047,,,0.826262064965,1.388071015
82,8.2,-0.816,0.078,-0.02,,,0.819963413818,1.33126025488
83,8.3,-0.793,0.07,0.023,,,0.796415720588,1.27777580145
84,8.4,-0.805,0.078,0.063,,,0.811220068785,1.23112022818
85,8.5,-0.859,0.121,0.09,,,0.872136457213,1.19522185109
86,8.6,-0.922,0.195,0.117,,,0.94963045444,1.17066271142
87,8.7,-0.953,0.266,0.148,,,1.00043440565,1.15363988084
88,8.8,-0.957,0.32,0.188,,,1.02644678381,1.14092057114
89,8.9,-0.938,0.344,0.211,,,1.02112731821,1.12894124585
90,9.0,-0.914,0.328,0.191,,,0.989677220108,1.11501484327
91,9.1,-0.883,0.313,0.141,,,0.947385349264,1.09825189387
92,9.2,-0.836,0.293,0.102,,,0.891711276143,1.0775978321
93,9.3,-0.828,0.281,0.07,,,0.877180141134,1.057556063
94,9.4,-0.84,0.273,0.074,,,0.886343612827,1.04043481799
95,9.5,-0.84,0.273,0.109,,,0.889949436766,1.02538627986
96,9.6,-0.84,0.281,0.133,,,0.895684096096,1.01241606149
97,9.7,-0.848,0.285,0.16,,,0.908806360013,1.00205509134
98,9.8,-0.875,0.297,0.18,,,0.941400021245,0.99598958433
99,9.9,-0.906,0.324,0.211,,,0.985054820809,0.994896107978
100,10.0,-0.926,0.363,0.242,,,1.02362541977,0.997769039157
101,10.1,-0.918,0.398,0.266,,,1.03531830854,1.0015239661
102,10.2,-0.887,0.418,0.281,,,1.02002647024,1.00337421651
103,10.3,-0.848,0.418,0.266,,,0.98213237397,1.00125003226
104,10.4,-0.824,0.418,0.23,,,0.952155449493,0.99634057398
105,10.5,-0.816,0.41,0.195,,,0.933799228957,0.990086439478
106,10.6,-0.805,0.383,0.164,,,0.90642705167,0.981720500697
107,10.7,-0.793,0.348,0.145,,,0.87805352912,0.971353803539
108,10.8,-0.785,0.305,0.137,,,0.853240294407,0.959542452626
109,10.9,-0.766,0.273,0.145,,,0.826020580857,0.946190265449
110,11.0,-0.77,0.262,0.145,,,0.826177341737,0.934188973078
111,11.1,-0.809,0.262,0.145,,,0.862641292775,0.927034205048
112,11.2,-0.871,0.289,0.137,,,0.927863675332,0.927117152076
113,11.3,-0.938,0.324,0.137,,,1.00179289277,0.934584726145
114,11.4,-0.988,0.359,0.141,,,1.06061585883,0.947187839414
115,11.5,-0.996,0.387,0.148,,,1.07874417727,0.9603434732
116,11.6,-0.98,0.402,0.16,,,1.07126280622,0.971435406502
117,11.7,-0.969,0.41,0.172,,,1.06613554485,0.980905420337
118,11.8,-0.949,0.43,0.168,,,1.05533170141,0.988348048444
119,11.9,-0.93,0.449,0.16,,,1.045036363,0.9940168799
120,12.0,-0.918,0.465,0.16,,,1.04141682337,0.998756874247
121,12.1,-0.914,0.477,0.164,,,1.04394492192,1.00327567901
122,12.2,-0.918,0.484,0.156,,,1.04943603902,1.00789171502
123,12.3,-0.934,0.48,0.133,,,1.05851074628,1.01295361814
124,12.4,-0.945,0.465,0.109,,,1.05883473687,1.01754173001
125,12.5,-0.953,0.457,0.082,,,1.06008584558,1.02179614157
126,12.6,-0.957,0.457,0.059,,,1.06215770957,1.02583229837
127,12.7,-0.969,0.445,0.039,,,1.06700843483,1.02994991202
128,12.8,-0.969,0.434,0.023,,,1.06200094162,1.03315501498
129,12.9,-0.957,0.434,0.012,,,1.05088010734,1.03492752421
130,13.0,-0.93,0.426,-0.008,,,1.02295649956,1.03373042175
131,13.1,-0.902,0.414,-0.035,,,0.993088616388,1.02966624121
132,13.2,-0.863,0.387,-0.063,,,0.947896091352,1.02148922623
133,13.3,-0.832,0.352,-0.09,,,0.907870034752,1.01012730708
134,13.4,-0.832,0.313,-0.113,,,0.89608146951,0.998722723322
135,13.5,-0.871,0.281,-0.141,,,0.92600377969,0.991450828959
136,13.6,-0.938,0.258,-0.152,,,0.984638004548,0.990769546518
137,13.7,-1.004,0.234,-0.156,,,1.04264471418,0.995957063284
138,13.8,-1.066,0.199,-0.145,,,1.09406672557,1.00576802951
139,13.9,-1.121,0.176,-0.129,,,1.14204115513,1.01939534207
140,14.0,-1.141,0.152,-0.117,,,1.15701080375,1.03315688824
141,14.1,-1.113,0.152,-0.098,,,1.12759788932,1.04260098835
142,14.2,-1.059,0.168,-0.078,,,1.07507627636,1.04584851715
143,14.3,-1.012,0.199,-0.059,,,1.03306630959,1.04457029639
144,14.4,-0.977,0.254,-0.051,,,1.01076505678,1.04118977243
145,14.5,-0.938,0.309,-0.055,,,0.989115766733,1.03598237186
146,14.6,-0.902,0.359,-0.063,,,0.972858674217,1.0296700021
147,14.7,-0.891,0.395,-0.078,,,0.977747411145,1.024477743
148,14.8,-0.891,0.418,-0.082,,,0.987587464481,1.02078871515
149,14.9,-0.898,0.414,-0.082,,,0.99223182775,1.01793302641
150,15.0,-0.91,0.395,-0.09,,,0.996104914153,1.01575021518
151,15.1,-0.918,0.367,-0.09,,,0.992730074089,1.01344820108
152,15.2,-0.945,0.332,-0.094,,,1.00602435358,1.01270581633
153,15.3,-0.973,0.301,-0.09,,,1.02246271326,1.01368150602
154,15.4,-0.98,0.277,-0.086,,,1.02202005851,1.01451536127
155,15.5,-0.977,0.266,-0.082,,,1.01587843761,1.0146516689
