Timestamp,Axis1,Axis2,Axis3,,
334.4,-2.484,3.828,1.961,,START
334.5,-3.941,2.949,1.578,,
334.6,-3.418,1.578,1.234,,
334.7,-2.473,2.07,1.16,,
334.8,-1.945,2.051,0.949,,
334.9,-1.66,1.809,0.59,,
335,-1.66,1.293,0.445,,
335.1,-1.902,0.711,0.453,,
335.2,-2.242,0.512,0.598,,
335.3,-2.348,0.445,0.633,,
335.4,-2.188,0.434,0.504,,
335.5,-1.953,0.422,0.328,,
335.6,-1.723,0.359,0.234,,
335.7,-1.598,0.277,0.203,,
335.8,-1.539,0.266,0.211,,
335.9,-1.492,0.332,0.227,,
336,-1.43,0.34,0.211,,
336.1,-1.359,0.309,0.219,,
336.2,-1.27,0.266,0.219,,
336.3,-1.16,0.203,0.18,,
336.4,-1.086,0.148,0.164,,
336.5,-1.07,0.117,0.164,,
336.6,-1.09,0.117,0.172,,
336.7,-1.102,0.145,0.188,,
336.8,-1.07,0.176,0.188,,
336.9,-0.996,0.191,0.176,,
337,-0.895,0.223,0.137,,
337.1,-0.777,0.25,0.105,,
337.2,-0.676,0.254,0.082,,
337.3,-0.629,0.266,0.047,,
337.4,-0.637,0.285,0.031,,
337.5,-0.637,0.301,0.047,,
337.6,-0.605,0.281,0.063,,
337.7,-0.543,0.246,0.066,,
337.8,-0.473,0.23,0.09,,
337.9,-0.465,0.227,0.109,,
338,-0.477,0.234,0.102,,
338.1,-0.461,0.195,0.094,,
338.2,-0.477,0.195,0.117,,
338.3,-0.594,0.23,0.148,,
338.4,-0.805,0.297,0.141,,
338.5,-0.973,0.367,0.148,,
338.6,-1.012,0.391,0.148,,
338.7,-1.02,0.383,0.098,,
338.8,-0.988,0.441,0.043,,
338.9,-0.887,0.457,0.035,,
339,-0.863,0.445,0.027,,
339.1,-0.934,0.418,0.012,,
339.2,-0.984,0.41,0.031,,
339.3,-1.008,0.395,0.09,,
339.4,-1.066,0.344,0.141,,
339.5,-1.121,0.316,0.16,,
339.6,-1.105,0.297,0.168,,
339.7,-1.043,0.289,0.164,,
339.8,-0.969,0.281,0.148,,
339.9,-0.891,0.27,0.121,,
340,-0.828,0.27,0.098,,
340.1,-0.789,0.297,0.082,,
340.2,-0.777,0.359,0.082,,
340.3,-0.801,0.422,0.094,,
340.4,-0.82,0.453,0.113,,
340.5,-0.844,0.441,0.137,,
340.6,-0.867,0.406,0.16,,
340.7,-0.91,0.359,0.184,,
340.8,-0.949,0.305,0.215,,
340.9,-0.984,0.273,0.23,,
341,-1.008,0.242,0.23,,
341.1,-1.008,0.223,0.211,,
341.2,-0.973,0.23,0.207,,
341.3,-0.953,0.246,0.188,,
341.4,-0.961,0.262,0.16,,
341.5,-0.973,0.273,0.152,,
341.6,-0.988,0.273,0.141,,
341.7,-1.02,0.25,0.113,,
341.8,-1.035,0.223,0.102,,
341.9,-1.047,0.191,0.109,,
342,-1.055,0.148,0.109,,
342.1,-1.047,0.102,0.117,,
342.2,-1.051,0.063,0.117,,
342.3,-1.063,0.043,0.121,,
342.4,-1.074,0.047,0.133,,
342.5,-1.082,0.07,0.148,,
342.6,-1.078,0.109,0.16,,
342.7,-1.07,0.16,0.168,,
342.8,-1.055,0.199,0.18,,
342.9,-1.043,0.238,0.191,,
343,-1.039,0.273,0.195,,
343.1,-1.043,0.285,0.195,,
343.2,-1.043,0.281,0.188,,
343.3,-1.039,0.25,0.18,,
343.4,-1.031,0.223,0.164,,
343.5,-1.016,0.211,0.16,,
343.6,-1.004,0.203,0.152,,
343.7,-0.988,0.195,0.137,,
343.8,-0.973,0.176,0.129,,
343.9,-0.938,0.156,0.129,,
344,-0.91,0.137,0.117,,
344.1,-0.891,0.121,0.102,,
344.2,-0.883,0.113,0.09,,
344.3,-0.871,0.121,0.07,,
344.4,-0.855,0.125,0.055,,
344.5,-0.848,0.145,0.047,,
344.6,-0.852,0.152,0.043,,
344.7,-0.848,0.16,0.063,,
344.8,-0.836,0.152,0.086,,
344.9,-0.828,0.145,0.086,,
345,-0.813,0.148,0.082,,
345.1,-0.801,0.176,0.098,,
345.2,-0.832,0.234,0.129,,
345.3,-0.898,0.305,0.164,,
345.4,-0.949,0.375,0.207,,
345.5,-0.965,0.41,0.223,,
345.6,-0.973,0.402,0.23,,
345.7,-1.008,0.379,0.23,,
345.8,-1.055,0.367,0.215,,
345.9,-1.105,0.379,0.164,,
346,-1.129,0.43,0.125,,
346.1,-1.145,0.508,0.121,,
346.2,-1.172,0.551,0.117,,
346.3,-1.199,0.563,0.109,,
346.4,-1.203,0.531,0.102,,
346.5,-1.176,0.473,0.098,,
346.6,-1.164,0.395,0.082,,
346.7,-1.188,0.32,0.07,,
346.8,-1.195,0.27,0.066,,
346.9,-1.164,0.25,0.07,,
347,-1.125,0.25,0.059,,
347.1,-1.078,0.258,0.047,,
347.2,-1.023,0.27,0.047,,
347.3,-0.973,0.273,0.039,,
347.4,-0.938,0.277,0.023,,
347.5,-0.914,0.293,0.02,,
347.6,-0.895,0.301,0.012,,
347.7,-0.875,0.316,-0.004,,
347.8,-0.852,0.324,-0.004,,
347.9,-0.84,0.316,0.012,,
348,-0.828,0.293,0.023,,
348.1,-0.828,0.281,0.035,,
348.2,-0.836,0.262,0.039,,
348.3,-0.828,0.254,0.051,,
348.4,-0.828,0.254,0.059,,
348.5,-0.832,0.273,0.055,,
348.6,-0.836,0.289,0.043,,
348.7,-0.852,0.309,0.027,,
348.8,-0.859,0.32,0.031,,
348.9,-0.867,0.332,0.031,,
349,-0.875,0.336,0.035,,
349.1,-0.879,0.328,0.039,,
349.2,-0.895,0.32,0.043,,
349.3,-0.902,0.297,0.043,,
349.4,-0.902,0.293,0.051,,
349.5,-0.898,0.273,0.055,,
349.6,-0.902,0.258,0.055,,
349.7,-0.91,0.242,0.055,,
349.8,-0.91,0.223,0.047,,
349.9,-0.922,0.215,0.039,,
350,-0.898,0.215,0.02,,
350.1,-0.867,0.223,0.008,,
350.2,-0.848,0.227,0,,
350.3,-0.836,0.238,0.004,,
350.4,-0.836,0.238,0.004,,
350.5,-0.84,0.23,0.004,,
350.6,-0.848,0.219,-0.008,,
350.7,-0.887,0.211,-0.023,,
350.8,-0.934,0.203,-0.027,,
350.9,-0.969,0.207,-0.016,,
351,-1,0.227,-0.016,,
351.1,-1.02,0.25,-0.023,,
351.2,-1.012,0.27,-0.016,,
351.3,-0.977,0.273,-0.004,,
351.4,-0.906,0.277,0.043,,
351.5,-0.82,0.27,0.094,,
351.6,-0.781,0.293,0.145,,
351.7,-0.852,0.371,0.156,,
351.8,-1.027,0.48,0.156,,
351.9,-1.223,0.535,0.168,,
352,-1.332,0.547,0.219,,
352.1,-1.305,0.52,0.27,,
352.2,-1.211,0.496,0.27,,
352.3,-1.168,0.48,0.176,,
352.4,-1.133,0.508,0.117,,
352.5,-1.117,0.543,0.086,,
352.6,-1.109,0.535,0.047,,
352.7,-1.055,0.453,-0.004,,
352.8,-0.953,0.328,-0.035,,
352.9,-0.887,0.199,-0.043,,
353,-0.875,0.098,-0.016,,
353.1,-0.895,0.07,0.059,,
353.2,-0.938,0.09,0.152,,
353.3,-0.945,0.141,0.242,,
353.4,-0.941,0.215,0.305,,
353.5,-0.938,0.297,0.355,,
353.6,-0.941,0.375,0.363,,
353.7,-0.934,0.438,0.332,,
353.8,-0.891,0.469,0.301,,
353.9,-0.855,0.484,0.266,,
354,-0.824,0.477,0.23,,
354.1,-0.816,0.457,0.199,,
354.2,-0.836,0.43,0.184,,
354.3,-0.859,0.383,0.18,,
354.4,-0.875,0.34,0.184,,
354.5,-0.898,0.32,0.207,,
354.6,-0.914,0.309,0.211,,
354.7,-0.934,0.301,0.227,,
354.8,-0.953,0.297,0.238,,
354.9,-0.98,0.289,0.238,,
355,-0.969,0.285,0.238,,
355.1,-0.941,0.285,0.234,,
355.2,-0.93,0.285,0.219,,
355.3,-0.914,0.289,0.207,,
355.4,-0.914,0.297,0.211,,
355.5,-0.902,0.309,0.215,,
355.6,-0.891,0.328,0.23,,
355.7,-0.918,0.328,0.227,,
355.8,-0.918,0.328,0.227,,
355.9,-0.91,0.332,0.25,,
356,-0.945,0.313,0.27,,
356.1,-0.965,0.324,0.285,,
356.2,-0.965,0.305,0.277,,
356.3,-0.957,0.293,0.27,,
356.4,-0.945,0.301,0.258,,
356.5,-0.938,0.285,0.242,,
356.6,-0.93,0.285,0.23,,
356.7,-0.93,0.285,0.227,,
356.8,-0.93,0.277,0.223,,
356.9,-0.93,0.273,0.219,,
357,-0.926,0.262,0.211,,
357.1,-0.922,0.23,0.207,,
357.2,-0.93,0.227,0.203,,
357.3,-0.918,0.219,0.203,,
357.4,-0.91,0.211,0.188,,
357.5,-0.906,0.203,0.18,,
357.6,-0.914,0.199,0.172,,
357.7,-0.91,0.199,0.164,,
357.8,-0.918,0.199,0.172,,
357.9,-0.969,0.207,0.152,,
358,-0.965,0.215,0.164,,
358.1,-0.992,0.223,0.148,,
358.2,-1.004,0.234,0.145,,
358.3,-1,0.234,0.141,,
358.4,-0.977,0.238,0.141,,
358.5,-0.941,0.223,0.125,,
358.6,-0.926,0.211,0.113,,
358.7,-0.914,0.199,0.094,,
358.8,-0.906,0.188,0.09,,
358.9,-0.91,0.188,0.082,,
359,-0.922,0.195,0.094,,
359.1,-0.93,0.203,0.113,,
359.2,-0.938,0.227,0.141,,
359.3,-0.965,0.25,0.176,,
359.4,-1,0.27,0.211,,
359.5,-1.055,0.285,0.246,,
359.6,-1.102,0.293,0.262,,
359.7,-1.137,0.277,0.281,,
359.8,-1.191,0.254,0.281,,
359.9,-1.23,0.25,0.273,,
360,-1.254,0.277,0.254,,
360.1,-1.25,0.293,0.211,,
360.2,-1.199,0.316,0.184,,
360.3,-1.117,0.344,0.156,,
360.4,-1.027,0.359,0.129,,
360.5,-0.91,0.387,0.137,,
360.6,-0.832,0.426,0.133,,
360.7,-0.797,0.434,0.086,,
360.8,-0.797,0.445,0.066,,
360.9,-0.824,0.438,0.059,,
361,-0.859,0.398,0.078,,
361.1,-0.941,0.348,0.059,,
361.2,-0.996,0.301,0.027,,
361.3,-0.992,0.254,0.012,,
361.4,-0.965,0.203,-0.012,,
361.5,-0.961,0.18,-0.027,,
361.6,-0.973,0.164,-0.043,,
361.7,-0.988,0.156,-0.047,,
361.8,-1.008,0.156,-0.035,,
361.9,-1.02,0.18,-0.012,,
362,-1.008,0.207,0.012,,
362.1,-0.988,0.23,0.027,,
362.2,-0.969,0.254,0.043,,
362.3,-0.965,0.273,0.035,,
362.4,-0.945,0.297,0.023,,
362.5,-0.914,0.305,0.02,,
362.6,-0.887,0.305,0.02,,
362.7,-0.867,0.309,0.016,,
362.8,-0.855,0.305,0.02,,
362.9,-0.848,0.277,0.016,,
363,-0.867,0.258,0.008,,
363.1,-0.898,0.227,0.004,,
363.2,-0.922,0.199,0,,
363.3,-0.934,0.184,-0.008,,
363.4,-0.941,0.184,-0.008,,
363.5,-0.938,0.18,-0.016,,
363.6,-0.926,0.176,-0.016,,
363.7,-0.918,0.172,-0.023,,
363.8,-0.918,0.16,-0.031,,
363.9,-0.914,0.156,-0.035,,
364,-0.926,0.141,-0.043,,
364.1,-0.93,0.129,-0.055,,
364.2,-0.918,0.125,-0.055,,
364.3,-0.898,0.129,-0.055,,
364.4,-0.887,0.133,-0.059,,
364.5,-0.895,0.133,-0.063,,
364.6,-0.914,0.125,-0.055,,
364.7,-0.945,0.129,-0.063,,
364.8,-0.973,0.121,-0.074,,
364.9,-0.977,0.105,-0.074,,
365,-0.961,0.094,-0.07,,
365.1,-0.93,0.082,-0.047,,
365.2,-0.902,0.07,-0.027,,
365.3,-0.906,0.09,-0.004,,
365.4,-0.938,0.113,0.02,,
365.5,-0.98,0.152,0.043,,
365.6,-1.027,0.203,0.078,,
365.7,-1.086,0.246,0.094,,
365.8,-1.141,0.23,0.07,,
365.9,-1.191,0.18,0.016,,
366,-1.203,0.137,-0.02,,
366.1,-1.176,0.121,-0.016,,
366.2,-1.148,0.113,-0.023,,
366.3,-1.113,0.109,-0.031,,
366.4,-1.078,0.137,-0.023,,
366.5,-1.078,0.211,0.02,,
366.6,-1.141,0.297,0.09,,
366.7,-1.215,0.383,0.16,,
366.8,-1.266,0.465,0.219,,
366.9,-1.266,0.523,0.246,,
367,-1.211,0.555,0.254,,
367.1,-1.133,0.508,0.203,,
367.2,-1.051,0.406,0.117,,
367.3,-0.957,0.332,0.066,,
367.4,-0.871,0.285,0.039,,
367.5,-0.828,0.25,-0.008,,
367.6,-0.805,0.211,-0.035,,
367.7,-0.789,0.18,-0.043,,
367.8,-0.762,0.148,-0.027,,
367.9,-0.762,0.125,0.016,,
368,-0.789,0.129,0.066,,
368.1,-0.824,0.137,0.133,,
368.2,-0.84,0.141,0.199,,
368.3,-0.852,0.195,0.277,,
368.4,-0.883,0.242,0.277,,
368.5,-0.879,0.273,0.301,,
368.6,-0.883,0.32,0.336,,
368.7,-0.93,0.352,0.316,,
368.8,-0.953,0.359,0.285,,
368.9,-0.945,0.355,0.273,,
369,-0.953,0.336,0.238,,
369.1,-0.965,0.324,0.207,,
369.2,-0.98,0.32,0.184,,
369.3,-0.992,0.316,0.18,,
369.4,-0.996,0.301,0.191,,
369.5,-1.02,0.285,0.188,,
369.6,-1.016,0.258,0.191,,
369.7,-1.004,0.238,0.191,,
369.8,-0.996,0.215,0.211,,
369.9,-1.016,0.199,0.203,,
370,-1.012,0.172,0.199,,
370.1,-0.988,0.16,0.188,,
370.2,-0.965,0.156,0.16,,
370.3,-0.938,0.16,0.156,,
370.4,-0.918,0.172,0.156,,
370.5,-0.914,0.191,0.148,,
370.6,-0.91,0.207,0.148,,
370.7,-0.906,0.211,0.172,,
370.8,-0.898,0.211,0.16,,
370.9,-0.895,0.207,0.156,,
371,-0.887,0.191,0.16,,
371.1,-0.898,0.164,0.18,,
371.2,-0.922,0.145,0.199,,
371.3,-0.965,0.141,0.191,,
371.4,-0.996,0.141,0.211,,
371.5,-1.008,0.145,0.219,,
371.6,-1.02,0.152,0.207,,
371.7,-1.012,0.168,0.199,,
371.8,-1.004,0.176,0.188,,
371.9,-1.012,0.176,0.176,,
372,-1.02,0.172,0.16,,
372.1,-1.016,0.164,0.148,,
372.2,-1.008,0.152,0.145,,
372.3,-0.996,0.152,0.141,,
372.4,-0.973,0.145,0.141,,
372.5,-0.965,0.141,0.148,,
372.6,-0.969,0.152,0.164,,
372.7,-0.977,0.16,0.168,,
372.8,-0.977,0.164,0.184,,
372.9,-0.98,0.176,0.215,,
373,-1,0.184,0.215,,
373.1,-1.004,0.188,0.203,,
373.2,-0.992,0.184,0.223,,
373.3,-0.996,0.172,0.199,,
373.4,-1,0.172,0.18,,
373.5,-0.984,0.168,0.176,,
373.6,-0.977,0.164,0.184,,
373.7,-0.992,0.152,0.164,,
373.8,-0.992,0.152,0.156,,
373.9,-0.996,0.148,0.152,,
374,-0.992,0.148,0.145,,
374.1,-0.996,0.141,0.145,,
374.2,-1.004,0.133,0.141,,
374.3,-0.988,0.129,0.137,,
374.4,-0.977,0.129,0.145,,
374.5,-0.969,0.117,0.133,,
374.6,-0.965,0.109,0.129,,
374.7,-0.969,0.098,0.117,,
374.8,-0.965,0.09,0.105,,
374.9,-0.953,0.078,0.113,,
375,-0.945,0.063,0.109,,
375.1,-0.93,0.066,0.094,,
375.2,-0.922,0.078,0.121,,
375.3,-0.922,0.102,0.125,,
375.4,-0.953,0.125,0.137,,
375.5,-1.004,0.152,0.172,,
375.6,-1.059,0.172,0.18,,
375.7,-1.117,0.18,0.211,,
375.8,-1.164,0.164,0.238,,
375.9,-1.207,0.156,0.238,,
376,-1.227,0.168,0.246,,
376.1,-1.223,0.191,0.234,,
376.2,-1.188,0.215,0.23,,
376.3,-1.105,0.242,0.23,,
376.4,-1.012,0.254,0.203,,
376.5,-0.969,0.266,0.184,,
376.6,-0.953,0.289,0.184,,
376.7,-0.969,0.324,0.18,,
376.8,-0.965,0.367,0.188,,
376.9,-0.941,0.371,0.18,,
377,-0.887,0.355,0.164,,
377.1,-0.832,0.336,0.156,,
377.2,-0.789,0.305,0.148,,
377.3,-0.785,0.273,0.113,,
377.4,-0.801,0.246,0.078,,
377.5,-0.84,0.23,0.055,,
377.6,-0.887,0.215,0.035,,
377.7,-0.93,0.203,0.039,,
377.8,-0.965,0.195,0.043,,
377.9,-0.996,0.199,0.043,,
378,-1.02,0.199,0.043,,
378.1,-1.047,0.184,0.039,,
378.2,-1.051,0.164,0.039,,
378.3,-1.039,0.148,0.043,,
378.4,-1.027,0.156,0.059,,
378.5,-1.027,0.18,0.063,,
378.6,-1.031,0.191,0.059,,
378.7,-1.02,0.195,0.055,,
378.8,-0.992,0.203,0.055,,
378.9,-0.965,0.207,0.055,,
379,-0.953,0.207,0.055,,
379.1,-0.945,0.203,0.051,,
379.2,-0.941,0.195,0.047,,
379.3,-0.934,0.184,0.051,,
379.4,-0.926,0.176,0.043,,
379.5,-0.922,0.164,0.035,,
379.6,-0.926,0.141,0.027,,
379.7,-0.938,0.129,0.027,,
379.8,-0.941,0.125,0.023,,
379.9,-0.938,0.125,0.023,,
380,-0.926,0.129,0.02,,
380.1,-0.93,0.141,0.02,,
380.2,-0.934,0.145,0.012,,
380.3,-0.93,0.16,0.016,,
380.4,-0.926,0.168,0.023,,
380.5,-0.926,0.176,0.027,,
380.6,-0.914,0.18,0.031,,
380.7,-0.918,0.188,0.027,,
380.8,-0.926,0.184,0.016,,
380.9,-0.93,0.18,0.016,,
381,-0.938,0.18,0.016,,
381.1,-0.938,0.168,0.008,,
381.2,-0.934,0.16,0.008,,
381.3,-0.934,0.156,0.008,,
381.4,-0.934,0.148,0.008,,
381.5,-0.934,0.148,0.008,,
381.6,-0.941,0.141,0.02,,
381.7,-0.941,0.141,0.023,,
381.8,-0.957,0.145,0.039,,
381.9,-0.969,0.137,0.047,,
382,-0.98,0.133,0.063,,
382.1,-0.992,0.137,0.063,,
382.2,-1.02,0.141,0.063,,
382.3,-1.043,0.148,0.051,,
382.4,-1.051,0.148,0.047,,
382.5,-1.051,0.137,0.043,,
382.6,-1.059,0.129,0.043,,
382.7,-1.066,0.125,0.043,,
382.8,-1.066,0.117,0.031,,
382.9,-1.055,0.105,0.031,,
383,-1.043,0.094,0.035,,
383.1,-1.055,0.07,0.02,,
383.2,-1.07,0.051,0.008,,
383.3,-1.082,0.035,0.004,,
383.4,-1.074,0.023,0.016,,
383.5,-1.074,0.02,0.035,,
383.6,-1.074,0.031,0.055,,
383.7,-1.078,0.07,0.07,,
383.8,-1.082,0.117,0.09,,
383.9,-1.086,0.191,0.137,,
384,-1.105,0.281,0.211,,
384.1,-1.152,0.359,0.277,,
384.2,-1.215,0.449,0.328,,
384.3,-1.258,0.52,0.348,,
384.4,-1.258,0.543,0.328,,
384.5,-1.199,0.496,0.242,,
384.6,-1.043,0.414,0.133,,
384.7,-0.871,0.336,0.059,,
384.8,-0.773,0.277,0.016,,
384.9,-0.766,0.23,-0.016,,
385,-0.773,0.203,-0.004,,
385.1,-0.758,0.18,0.035,,
385.2,-0.75,0.164,0.086,,
385.3,-0.746,0.164,0.156,,
385.4,-0.754,0.176,0.223,,
385.5,-0.781,0.215,0.285,,
385.6,-0.824,0.258,0.34,,
385.7,-0.875,0.301,0.379,,
385.8,-0.906,0.336,0.395,,
385.9,-0.922,0.359,0.395,,
386,-0.93,0.367,0.375,,
386.1,-0.934,0.359,0.352,,
386.2,-0.945,0.352,0.32,,
386.3,-0.949,0.344,0.293,,
386.4,-0.945,0.34,0.277,,
386.5,-0.949,0.34,0.262,,
386.6,-0.957,0.344,0.246,,
386.7,-0.969,0.344,0.238,,
386.8,-0.973,0.336,0.238,,
386.9,-0.961,0.32,0.238,,
387,-0.957,0.301,0.238,,
387.1,-0.965,0.277,0.23,,
387.2,-0.965,0.254,0.23,,
387.3,-0.961,0.223,0.211,,
387.4,-0.945,0.203,0.203,,
387.5,-0.922,0.184,0.191,,
387.6,-0.898,0.184,0.188,,
387.7,-0.895,0.188,0.18,,
387.8,-0.898,0.199,0.176,,
387.9,-0.906,0.219,0.18,,
388,-0.906,0.223,0.195,,
388.1,-0.922,0.223,0.207,,
388.2,-0.941,0.223,0.215,,
388.3,-0.957,0.219,0.219,,
388.4,-0.961,0.219,0.203,,
388.5,-0.957,0.215,0.199,,
388.6,-0.957,0.199,0.191,,
388.7,-0.965,0.184,0.191,,
388.8,-0.98,0.164,0.18,,
388.9,-0.98,0.145,0.176,,
389,-0.988,0.129,0.156,,
389.1,-0.996,0.125,0.152,,
389.2,-0.996,0.121,0.141,,
389.3,-0.988,0.121,0.133,,
389.4,-0.969,0.133,0.129,,
389.5,-0.961,0.141,0.133,,
389.6,-0.957,0.148,0.137,,
389.7,-0.965,0.156,0.148,,
389.8,-0.965,0.16,0.16,,
389.9,-0.969,0.156,0.168,,
390,-0.973,0.156,0.168,,
390.1,-0.984,0.156,0.164,,
390.2,-0.992,0.156,0.16,,
390.3,-0.996,0.16,0.148,,
390.4,-0.996,0.168,0.148,,
390.5,-0.992,0.172,0.145,,
390.6,-0.98,0.176,0.148,,
390.7,-0.992,0.18,0.145,,
390.8,-1.004,0.184,0.145,,
390.9,-1.008,0.184,0.141,,
391,-1.02,0.176,0.141,,
391.1,-1.02,0.168,0.141,,
391.2,-1.012,0.156,0.137,,
391.3,-1.012,0.137,0.137,,
391.4,-1.004,0.121,0.129,,
391.5,-1.012,0.105,0.133,,
391.6,-1.02,0.09,0.137,,
391.7,-1.031,0.086,0.141,,
391.8,-1.043,0.086,0.137,,
391.9,-1.039,0.082,0.133,,
392,-1.035,0.086,0.137,,
392.1,-1.035,0.094,0.141,,
392.2,-1.047,0.109,0.145,,
392.3,-1.059,0.129,0.145,,
392.4,-1.047,0.148,0.156,,
392.5,-1.055,0.172,0.172,,
392.6,-1.094,0.191,0.191,,
392.7,-1.133,0.195,0.18,,
392.8,-1.148,0.191,0.188,,
392.9,-1.145,0.203,0.184,,
393,-1.141,0.223,0.188,,
393.1,-1.121,0.246,0.176,,
393.2,-1.074,0.246,0.156,,
393.3,-0.996,0.234,0.148,,
393.4,-0.941,0.23,0.152,,
393.5,-0.922,0.238,0.156,,
393.6,-0.914,0.246,0.16,,
393.7,-0.914,0.25,0.145,,
393.8,-0.922,0.258,0.137,,
393.9,-0.922,0.254,0.133,,
394,-0.895,0.238,0.133,,
394.1,-0.867,0.234,0.121,,
394.2,-0.844,0.227,0.105,,
394.3,-0.824,0.223,0.098,,
394.4,-0.797,0.223,0.082,,
394.5,-0.781,0.242,0.094,,
394.6,-0.789,0.27,0.098,,
394.7,-0.82,0.285,0.094,,
394.8,-0.863,0.297,0.066,,
394.9,-0.902,0.309,0.051,,
395,-0.93,0.309,0.047,,
395.1,-0.961,0.301,0.027,,
395.2,-0.988,0.289,0.012,,
395.3,-1.012,0.277,-0.004,,
395.4,-1.035,0.262,-0.02,,
395.5,-1.051,0.246,-0.027,,
395.6,-1.051,0.223,-0.035,,
395.7,-1.066,0.195,-0.027,,
395.8,-1.078,0.164,-0.012,,
395.9,-1.09,0.148,0.012,,
396,-1.094,0.152,0.031,,
396.1,-1.082,0.145,0.039,,
396.2,-1.055,0.148,0.043,,
396.3,-1.016,0.156,0.043,,
396.4,-0.984,0.168,0.039,,
396.5,-0.957,0.18,0.031,,
396.6,-0.934,0.188,0.027,,
396.7,-0.918,0.188,0.023,,
396.8,-0.914,0.191,0.02,,
396.9,-0.914,0.188,0.012,,
397,-0.906,0.18,0.012,,
397.1,-0.91,0.168,0.004,,
397.2,-0.914,0.164,-0.004,,
397.3,-0.918,0.156,0,,
397.4,-0.926,0.156,0.012,,
397.5,-0.938,0.16,0.008,,
397.6,-0.949,0.164,0.008,,
397.7,-0.953,0.172,0.004,,
397.8,-0.938,0.184,0,,
397.9,-0.922,0.199,0.004,,
398,-0.914,0.203,0.008,,
398.1,-0.914,0.203,0.004,,
398.2,-0.914,0.199,0.004,,
398.3,-0.922,0.195,0.008,,
398.4,-0.934,0.184,0.008,,
398.5,-0.945,0.168,0.012,,
398.6,-0.949,0.152,0.012,,
398.7,-0.949,0.141,0.008,,
398.8,-0.957,0.121,0.008,,
398.9,-0.953,0.105,-0.008,,
399,-0.941,0.098,-0.016,,
399.1,-0.934,0.078,-0.027,,
399.2,-0.938,0.066,-0.039,,
399.3,-0.941,0.074,-0.051,,
399.4,-0.941,0.082,-0.027,,
399.5,-0.949,0.094,0.012,,
399.6,-0.973,0.109,0.031,,
399.7,-1.004,0.137,0.055,,
399.8,-1.027,0.16,0.082,,
399.9,-1.031,0.188,0.102,,
400,-1.047,0.223,0.113,,
400.1,-1.07,0.238,0.094,,
400.2,-1.105,0.234,0.07,,
400.3,-1.145,0.215,0.039,,
400.4,-1.156,0.184,0.023,,
400.5,-1.145,0.145,0.043,,
400.6,-1.125,0.113,0.063,,
400.7,-1.121,0.094,0.055,,
400.8,-1.117,0.102,0.051,,
400.9,-1.113,0.145,0.086,,
401,-1.129,0.23,0.125,,
401.1,-1.184,0.316,0.16,,
401.2,-1.219,0.398,0.207,,
401.3,-1.219,0.469,0.25,,
401.4,-1.176,0.508,0.266,,
401.5,-1.105,0.512,0.234,,
401.6,-1.023,0.469,0.164,,
401.7,-0.941,0.395,0.09,,
